---------------------------------------------------------------------------------------------------------------
|  8  4  | 19  2  | 11  9  | 18 17  | 12 14  |  7 10  | 13  5  | 16  1  |  3 15  |  6 20  |
|  2  7  | 13  4  | 18 14  |  8  9  | 11 10  | 12 16  | 20 19  | 17  5  |  1  6  |  3 15  |
| 12  5  | 15 16  |  4 17  |  1  2  |  3 13  | 14 11  | 10  6  | 18  7  | 20 19  |  8  9  |
| 20 11  |  3  5  |  2 13  |  7  4  |  8 18  | 15  6  | 12  1  | 10 14  | 16  9  | 17 19  |
| 17 15  | 11  7  | 20  3  |  5 16  |  2  9  |  8 18  |  4 14  | 19  6  | 10 13  |  1 12  |
| 19 16  | 20 17  |  6  8  | 11 14  |  4  5  |  3  1  | 18  2  | 15  9  |  7 12  | 10 13  |
| 10 18  |  6  1  |  5 15  |  3 12  | 17  7  |  4 19  |  8  9  | 13 20  | 14  2  | 11 16  |
| 13  6  | 10  9  | 16 12  | 19 20  | 15  1  | 17  2  | 11  3  |  4  8  |  5 18  | 14  7  |
|  1  3  | 18 14  |  7 10  | 15  6  | 20 19  |  9 13  | 17 16  |  2 12  |  8 11  |  5  4  |
| 14  9  |  8 12  |  1 19  | 13 10  |  6 16  | 20  5  |  7 15  | 11  3  |  4 17  |  2 18  |
---------------------------------------------------------------------------------------------------------------
| 11 13  |  9 20  | 14  5  | 12 15  | 19 17  |  2  8  |  1 18  |  3 16  |  6  7  |  4 10  |
|  9 12  | 16  3  | 15 20  |  2  5  |  7  6  | 18  4  | 14 13  |  1 10  | 11  8  | 19 17  |
| 16 14  |  1 19  | 13 11  | 20  8  |  9  2  |  5 17  |  6 12  |  7  4  | 15 10  | 18  3  |
|  5  8  |  7 10  |  3  2  | 17 11  | 18 20  | 13 12  | 15  4  |  6 19  |  9  1  | 16 14  |
|  4 17  | 12 15  | 19 16  | 14  3  | 10 11  |  6  9  |  2  8  |  5 13  | 18 20  |  7  1  |
| 15 19  |  5 13  |  9  1  | 16 18  | 14  8  | 11  7  |  3 10  | 12  2  | 17  4  | 20  6  |
| 18  1  |  4 11  | 10  6  |  9 19  | 13 12  | 16 20  |  5  7  | 14 17  |  2  3  | 15  8  |
|  6 20  | 14  8  | 12 18  |  4  7  |  1 15  | 10  3  | 16 17  |  9 11  | 19  5  | 13  2  |
|  3  2  | 17  6  |  8  7  | 10  1  | 16  4  | 19 15  |  9 11  | 20 18  | 13 14  | 12  5  |
|  7 10  |  2 18  | 17  4  |  6 13  |  5  3  |  1 14  | 19 20  |  8 15  | 12 16  |  9 11  |
---------------------------------------------------------------------------------------------------------------
