---------------------------------------------------------------------------------------------------------------
|  8  4  | 10  2  | 11  7  | 19 17  |  1 12  |  6  3  | 14 20  | 15 18  | 16  5  | 13  9  |
| 20 16  |  8  6  | 10 14  |  7  1  | 18  2  | 11 13  |  3 19  | 17  4  |  9 15  |  5 12  |
|  3  7  | 20  1  |  8  6  |  2 13  | 19  9  | 14 18  | 11 16  |  5 10  |  4 12  | 15 17  |
| 14 17  |  4 12  |  2 20  |  6  8  |  7 13  |  1 16  |  5 15  |  9 11  | 10  3  | 19 18  |
|  5  6  |  3 17  |  9 18  | 11 20  | 14  8  |  2 15  | 10  4  | 16 12  | 13 19  |  7  1  |
| 12 10  | 14  5  | 17 16  |  4 18  | 20 15  |  9 19  | 13  6  |  3  1  |  2  7  |  8 11  |
| 13 15  | 11 16  | 12  3  | 10 14  |  6  5  | 20 17  |  9  1  | 19  7  | 18  8  |  2  4  |
| 19  2  | 15  9  |  5  1  |  3 12  | 17 10  |  8  4  |  7 18  | 20 13  | 11  6  | 16 14  |
| 11 18  | 19 13  | 15  4  |  5  9  |  3 16  | 12  7  |  8  2  |  6 14  |  1 17  | 10 20  |
|  9  1  | 18  7  | 13 19  | 16 15  |  4 11  | 10  5  | 17 12  |  2  8  | 20 14  |  3  6  |
---------------------------------------------------------------------------------------------------------------
|  1 11  |  5 18  |  4 12  | 14 19  |  2 17  | 13  9  | 16 10  |  8  3  |  7 20  |  6 15  |
| 18  3  |  1  8  | 14  9  | 12  5  | 11  4  | 15 10  |  2 13  |  7 20  |  6 16  | 17 19  |
|  7 13  | 17  3  |  1  8  |  9  4  |  5 19  | 16 14  | 12 11  | 10  6  | 15 18  | 20  2  |
| 15 19  | 13 10  | 20  2  |  1  6  |  8  7  |  4 12  | 18  3  | 11 16  | 17  9  | 14  5  |
|  2  8  |  7  4  | 18 13  | 20 10  |  9  6  | 19 11  | 15 17  | 14  5  |  3  1  | 12 16  |
| 17 14  |  9 11  | 19 10  | 13  3  | 16 20  |  7  6  |  4  5  |  1 15  | 12  2  | 18  8  |
|  6  5  | 12 20  |  3 15  | 18 16  | 13  1  | 17  2  | 19  8  |  4  9  | 14 10  | 11  7  |
| 16 12  |  2 19  |  6 11  |  8  7  | 15 14  |  3 20  |  1  9  | 18 17  |  5 13  |  4 10  |
| 10  9  |  6 14  | 16 17  | 15 11  | 12 18  |  5  8  | 20  7  | 13  2  | 19  4  |  1  3  |
|  4 20  | 16 15  |  7  5  | 17  2  | 10  3  | 18  1  |  6 14  | 12 19  |  8 11  |  9 13  |
---------------------------------------------------------------------------------------------------------------
