---------------------------------------------------------------------------------------------------------------
| 12  8  | 10  3  | 11  2  |  5  1  | 17  4  |  6 15  | 19 13  | 18  9  | 16 14  |  7 20  |
|  6 14  |  1  4  | 12 16  |  9  2  | 13 10  | 19  7  |  8  3  | 17 11  | 15 20  |  5 18  |
| 17 15  |  9 12  |  7 18  | 20 19  |  2  8  |  4 13  |  6  5  |  3 16  |  1 10  | 14 11  |
| 19  2  |  6 18  |  3  1  |  4 10  |  9 11  | 14 12  | 15  7  |  5 20  | 13 17  | 16  8  |
| 16 18  | 14 15  | 19  8  |  3  6  |  5  7  | 17 10  |  4 20  | 13  1  | 11  2  | 12  9  |
|  5 13  | 16  2  | 15  6  | 12 17  | 14 20  |  9  1  | 11 10  |  4  7  | 18  8  | 19  3  |
|  4 20  | 13 17  | 14  9  |  8 11  |  3  6  |  5 16  |  1 18  | 10 19  |  7 12  | 15  2  |
| 11  9  |  5  8  |  4 20  | 16  7  |  1 19  |  2 18  | 17 14  | 15 12  |  3  6  | 13 10  |
|  7 10  | 19 11  |  5 17  | 15 13  | 12 18  | 20  3  |  2 16  | 14  8  |  4  9  |  1  6  |
|  1  3  |  7 20  | 10 13  | 18 14  | 16 15  |  8 11  |  9 12  |  6  2  | 19  5  |  4 17  |
---------------------------------------------------------------------------------------------------------------
|  9  1  |  8 19  | 13 12  |  7  3  | 10  2  | 16  6  | 14 17  | 20 18  |  5 15  | 11  4  |
| 10  6  |  2  9  |  1 19  | 14  4  |  7 17  |  3  5  | 12 15  | 11 13  |  8 18  | 20 16  |
|  8  7  |  3  5  |  6 10  | 19  9  | 20 13  | 12 14  | 16  1  |  2  4  | 17 11  | 18 15  |
| 15 17  |  4  1  | 16 14  |  6 20  | 19  5  | 11  9  | 18  8  |  7  3  | 10 13  |  2 12  |
|  3  5  | 17  6  |  9 15  | 10 16  | 11 12  | 18  2  |  7  4  |  1 14  | 20 19  |  8 13  |
| 14 16  | 15  7  |  2  5  | 17  8  | 18  1  | 13  4  | 20 11  | 12 10  |  9  3  |  6 19  |
| 13 11  | 20 14  | 17  7  |  1 18  |  4  3  | 15 19  | 10  2  |  8  6  | 12 16  |  9  5  |
| 18 19  | 11 16  | 20  3  | 13 12  | 15 14  |  7  8  |  5  6  |  9 17  |  2  4  | 10  1  |
|  2 12  | 18 13  |  8  4  | 11 15  |  6 16  | 10 20  |  3  9  | 19  5  | 14  1  | 17  7  |
| 20  4  | 12 10  | 18 11  |  2  5  |  8  9  |  1 17  | 13 19  | 16 15  |  6  7  |  3 14  |
---------------------------------------------------------------------------------------------------------------
