---------------------------------------------------------------------------------------------------------------
| 18  3  |  6 20  |  1  2  | 19  8  | 10  7  | 13 16  | 14 11  | 17  4  | 12  5  | 15  9  |
| 20  2  | 10  5  |  6 15  |  9 17  | 11 14  | 19  8  | 12  3  |  1 16  |  4 18  | 13  7  |
| 11 19  | 15  4  | 13 12  |  1  2  |  6 18  | 14  9  |  7 10  | 20  8  | 16 17  |  3  5  |
|  9  6  | 19  1  | 20  4  | 13 12  |  2  8  | 15 17  | 18 16  |  3  5  | 14  7  | 10 11  |
|  5  8  |  2 11  |  7 16  | 20  6  | 12  1  | 10  4  | 15 13  | 19 18  |  3  9  | 17 14  |
| 10 14  | 17  7  | 18  8  | 11  4  | 13  3  |  2 12  | 20  5  | 15  9  |  1 19  | 16  6  |
|  7  1  |  9 14  | 19  3  |  5 18  | 17 16  |  6 20  |  4  8  | 13 10  | 15 11  |  2 12  |
| 12 16  |  3  8  | 10  9  |  7 14  | 19 15  | 18  5  | 17  6  |  2 11  | 20 13  |  1  4  |
| 17 15  | 16 13  | 11  5  | 10  3  | 20  4  |  1  7  | 19  9  | 14 12  |  2  6  | 18  8  |
|  4 13  | 12 18  | 17 14  | 15 16  |  5  9  | 11  3  |  1  2  |  6  7  |  8 10  | 19 20  |
---------------------------------------------------------------------------------------------------------------
|  1 11  |  8 16  |  3  7  |  4  9  | 18 20  | 12 10  |  2 14  |  5 17  | 13 15  |  6 19  |
|  6  7  |  4 12  |  2 18  |  3 20  |  8 10  |  9 19  | 11 15  | 16  1  | 17 14  |  5 13  |
| 16 17  |  1  3  | 12 19  | 14  7  |  9 11  |  5  6  | 10  4  |  8 13  | 18  2  | 20 15  |
| 15 18  | 11 10  |  5 17  |  2 19  |  1 12  |  7 13  |  9 20  |  4 14  |  6 16  |  8  3  |
|  3  5  | 13  9  | 15  6  |  8  1  |  7 17  | 20 14  | 16 12  | 10  2  | 19  4  | 11 18  |
| 19  4  | 18 17  | 14  1  | 16  5  | 15  6  |  8 11  | 13  7  | 12 20  | 10  3  |  9  2  |
| 14 10  |  7 15  | 16 11  | 18 13  |  4 19  |  3  2  |  8 17  |  9  6  |  5 20  | 12  1  |
|  8 20  | 14 19  |  4 13  |  6 10  |  3  2  | 17  1  |  5 18  | 11 15  |  9 12  |  7 16  |
|  2 12  |  5  6  |  9 20  | 17 11  | 14 13  | 16 15  |  3  1  | 18 19  |  7  8  |  4 10  |
| 13  9  | 20  2  |  8 10  | 12 15  | 16  5  |  4 18  |  6 19  |  7  3  | 11  1  | 14 17  |
---------------------------------------------------------------------------------------------------------------
