---------------------------------------------------------------------------------------------------------------
| 14  5  |  8 13  | 10  6  | 12  3  | 16  9  | 19 11  |  4 20  | 17 15  |  1  2  |  7 18  |
|  9 11  | 17 15  |  8  2  |  1 20  |  5  7  | 10  4  | 19  3  |  6 14  | 16 18  | 13 12  |
| 10  2  |  9 20  |  5 11  |  6  8  |  1 13  | 15 14  | 12 16  |  3 18  | 17  7  | 19  4  |
| 12 15  |  4 10  |  9 18  | 19  2  |  6  3  | 13 16  | 17 14  | 11  7  | 20  5  |  1  8  |
| 13  4  |  1 18  | 20 12  | 16 17  | 19 10  |  9  8  | 11  7  |  5  2  |  3 15  | 14  6  |
|  6 18  |  2 16  |  1 17  | 10  9  | 12  8  |  5  7  | 13 15  | 19  4  | 11 14  |  3 20  |
| 19  7  |  5 11  | 15  4  | 14 13  |  2 20  |  6  3  | 18  8  | 16  1  |  9 12  | 17 10  |
|  1 17  | 12 19  |  3 14  |  4  7  | 18 15  | 20  2  |  6  5  |  8  9  | 10 13  | 16 11  |
| 16  3  | 14  7  | 13 19  |  5 18  | 11  4  | 12 17  |  2  1  | 20 10  |  8  6  | 15  9  |
|  8 20  |  6  3  | 16  7  | 11 15  | 14 17  | 18  1  |  9 10  | 12 13  | 19  4  |  2  5  |
---------------------------------------------------------------------------------------------------------------
| 18  9  |  7  5  | 17  1  | 13 14  |  4  2  | 16 10  | 20  6  | 15  8  | 12 19  | 11  3  |
|  3 19  | 16  9  | 12 15  |  8  4  |  7  6  | 14 13  |  5 18  |  1 20  |  2 11  | 10 17  |
| 15  8  | 13 17  |  4  9  |  7 12  |  3 14  |  2  5  | 16 11  | 18 19  |  6 10  | 20  1  |
| 11  6  | 19  8  | 14 13  |  9  1  | 15 16  |  3 20  | 10  2  |  4 12  | 18 17  |  5  7  |
|  7 14  | 15  4  | 11  8  |  2 16  | 10 19  |  1 18  |  3 12  |  9 17  |  5 20  |  6 13  |
|  2 12  | 20  1  |  7  5  | 15  6  |  9 18  |  8 19  | 14 17  | 10 11  | 13  3  |  4 16  |
|  5 10  |  3  6  | 18 20  | 17 11  | 13 12  |  4  9  | 15 19  |  2 16  |  7  1  |  8 14  |
| 20 16  | 11 12  |  6 10  | 18 19  | 17  5  |  7 15  |  1  4  | 13  3  | 14  8  |  9  2  |
|  4  1  | 18 14  |  2 16  |  3 10  | 20 11  | 17  6  |  8 13  |  7  5  | 15  9  | 12 19  |
| 17 13  | 10  2  | 19  3  | 20  5  |  8  1  | 11 12  |  7  9  | 14  6  |  4 16  | 18 15  |
---------------------------------------------------------------------------------------------------------------
