---------------------------------------------------------------------------------------------------------------
|  9 14  | 12  2  | 18 15  |  8 19  | 17  3  |  5  1  | 11 13  |  4 16  |  6  7  | 20 10  |
| 13  8  |  6 10  | 14 12  | 15  3  | 16  5  |  7  2  | 17 18  | 11 19  |  1 20  |  4  9  |
| 10 20  |  8 15  |  2 13  |  6 12  |  4  7  | 17 18  | 19 16  |  3  1  | 11  9  | 14  5  |
| 18 12  | 20 14  |  1  9  | 11  2  | 15 13  |  4 16  |  7  6  |  8 17  |  5 10  | 19  3  |
|  7 11  |  4  5  |  3 10  | 13  1  |  2  9  | 15 12  | 14 20  | 18  6  | 19 16  | 17  8  |
|  2  5  | 16  3  |  6 17  | 14  7  | 11 10  | 19  9  |  1  8  | 15 20  | 18  4  | 13 12  |
|  4 16  | 13 19  |  5 20  | 10 18  | 14  6  |  3  8  |  2  9  |  7 12  | 17 15  | 11  1  |
|  1 15  |  9  7  | 11  8  |  5 17  | 20 19  | 13  6  |  3  4  |  2 10  | 12 14  | 16 18  |
|  3 17  |  1 11  | 16 19  | 20  4  |  8 18  | 14 10  | 15 12  |  9  5  |  2 13  |  6  7  |
|  6 19  | 18 17  |  4  7  | 16  9  | 12  1  | 20 11  |  5 10  | 13 14  |  8  3  | 15  2  |
---------------------------------------------------------------------------------------------------------------
| 20 10  |  2  4  | 13  1  |  9  8  | 18 16  | 12 14  |  6 17  | 19 15  |  3  5  |  7 11  |
| 17  6  | 11 16  | 20  5  | 12 15  | 19  2  |  9  4  | 10 14  |  1  3  |  7 18  |  8 13  |
| 15  4  |  5 20  |  7  6  | 18 13  | 10 11  |  8  3  |  9  1  | 14  2  | 16 19  | 12 17  |
| 19  1  | 10  9  | 12  4  |  2 11  |  5 20  | 16 17  | 18  7  |  6 13  | 14  8  |  3 15  |
| 16  9  | 17  6  | 10  2  |  4 20  | 13 12  | 18 19  |  8  3  |  5  7  | 15 11  |  1 14  |
|  5  7  |  3  8  | 17 16  | 19  6  |  1 14  |  2 15  | 13 11  | 10 18  |  4 12  |  9 20  |
| 11 18  | 19 13  |  8 14  |  1 10  |  3 15  |  6  7  | 16  2  | 12  9  | 20 17  |  5  4  |
| 12  2  |  7  1  | 15 18  |  3 14  |  9  8  | 11  5  | 20 19  | 17  4  | 13  6  | 10 16  |
| 14  3  | 15 18  | 19 11  | 17 16  |  7  4  | 10 13  | 12  5  | 20  8  |  9  1  |  2  6  |
|  8 13  | 14 12  |  9  3  |  7  5  |  6 17  |  1 20  |  4 15  | 16 11  | 10  2  | 18 19  |
---------------------------------------------------------------------------------------------------------------
