---------------------------------------------------------------------------------------------------------------
| 19 11  |  3 10  |  9  2  |  5  1  | 13 14  | 20  7  | 16 12  | 17 18  |  8  6  | 15  4  |
|  7  4  | 19 16  | 10  3  | 15 18  |  8  5  |  1 14  | 20  6  | 12  2  | 13 11  | 17  9  |
| 18 12  | 11  6  |  8  4  | 19 20  | 10 17  | 13  9  | 14  7  |  1  3  | 16 15  |  2  5  |
|  8 16  |  1  4  | 19  6  | 14 10  |  3  2  | 17 11  |  5 18  | 20 15  | 12  9  | 13  7  |
|  1 14  | 20  2  | 16 11  |  3  8  |  9 19  |  6  5  | 13 15  |  7  4  | 18 17  | 12 10  |
|  9  6  |  7  8  |  5 12  | 11 16  | 20 15  | 10  3  |  2 17  | 13 19  |  4 14  | 18  1  |
|  2 13  |  5 17  |  1 18  | 12  9  | 11 16  | 19 15  | 10  4  |  6 14  |  7 20  |  8  3  |
|  3  5  |  9 18  | 17 15  | 13  7  |  6  1  | 12  4  | 19 11  |  8 16  |  2 10  | 14 20  |
| 20 15  | 13 12  |  7 14  |  6 17  | 18  4  | 16  2  |  3  8  | 10  9  |  1  5  | 11 19  |
| 17 10  | 14 15  | 20 13  |  4  2  | 12  7  |  8 18  |  1  9  | 11  5  | 19  3  | 16  6  |
---------------------------------------------------------------------------------------------------------------
| 15 18  |  2 20  |  4  5  |  9 13  |  7 11  | 14  1  | 12 16  | 19 10  |  3  8  |  6 17  |
| 16  8  | 15  5  |  2 20  | 10 11  | 19 13  |  4 12  |  9 14  |  3  6  | 17  7  |  1 18  |
| 14  7  |  8  1  | 18 17  |  2 12  | 16 20  |  5 10  |  4 13  |  9 11  |  6 19  |  3 15  |
|  5 20  | 17 19  |  3  8  |  1  4  |  2 12  |  9 16  |  6 10  | 14 13  | 15 18  |  7 11  |
| 10  1  |  4 11  | 15  7  | 17 14  |  5  9  |  3  6  | 18  2  | 16 12  | 20 13  | 19  8  |
|  4 19  | 12  3  |  6  9  | 20  5  | 17  8  | 11 13  | 15  1  | 18  7  | 14 16  | 10  2  |
| 11 17  | 10  7  | 14  1  | 16  6  |  4 18  |  2 19  |  8  3  | 15 20  |  9 12  |  5 13  |
|  6  9  | 18 14  | 13 16  |  7 19  |  1  3  | 15  8  | 11  5  |  4 17  | 10  2  | 20 12  |
| 12  3  |  6 13  | 11 19  |  8 15  | 14 10  | 18 17  |  7 20  |  2  1  |  5  4  |  9 16  |
| 13  2  | 16  9  | 12 10  | 18  3  | 15  6  |  7 20  | 17 19  |  5  8  | 11  1  |  4 14  |
---------------------------------------------------------------------------------------------------------------
