---------------------------------------------------------------------------------------------------------------
| 18 15  | 14 11  | 16  5  |  4 17  |  1 10  |  6  3  | 13  9  |  7 12  | 20  2  |  8 19  |
| 14  3  |  6 17  | 11 13  | 15  8  |  4 12  | 20  5  |  2  7  | 19  1  |  9 16  | 18 10  |
|  6 10  |  4 19  | 14 18  | 12 20  |  5  8  | 15 17  |  1 16  |  2 13  |  7 11  |  3  9  |
|  4  5  |  9  7  |  6 20  | 18 19  | 14 13  |  1 10  | 17 15  | 16  3  | 12  8  |  2 11  |
|  1 12  | 20 16  |  9 15  | 13  7  | 18  3  |  8  2  | 11 19  | 17  6  | 10  4  |  5 14  |
|  7 17  | 10 15  |  8  1  | 14  5  | 16  2  | 12 13  |  3  6  | 11  9  | 18 19  | 20  4  |
| 19 13  |  1  3  |  7  2  |  6 16  | 20 17  |  9 11  |  8 10  |  4 18  |  5 14  | 12 15  |
|  2 11  |  5 18  |  4 19  |  1  9  |  7  6  | 14 16  | 20 12  |  8 10  |  3 15  | 13 17  |
| 16 20  |  2  8  | 17 12  |  3 10  |  9 11  | 19 18  | 14  4  | 15  5  |  6 13  |  7  1  |
|  9  8  | 12 13  | 10  3  | 11  2  | 15 19  |  7  4  | 18  5  | 20 14  | 17  1  | 16  6  |
---------------------------------------------------------------------------------------------------------------
|  3  1  | 18  5  | 12  4  | 16 15  |  6  9  | 13  8  |  7 14  | 10 19  |  2 17  | 11 20  |
| 13  7  | 17  4  | 18 10  | 19 12  |  2 15  |  3  9  |  6  8  | 14 20  | 11  5  |  1 16  |
|  5 16  | 13 14  |  1 17  |  8  4  | 19  7  | 11 12  | 10 20  |  6  2  | 15  3  |  9 18  |
| 10 14  |  3 12  | 19  6  |  5 18  | 13 20  |  4 15  |  9  2  |  1 11  | 16  7  | 17  8  |
| 17  2  | 11  6  |  3 16  | 10  1  | 12  5  | 18 14  |  4 13  |  9  8  | 19 20  | 15  7  |
| 12  9  | 16 10  |  5 11  | 17  3  |  8 14  |  2 20  | 15  1  | 18  7  |  4  6  | 19 13  |
| 20 18  | 15  2  | 13  9  |  7  6  | 17  1  |  5 19  | 16 11  | 12  4  |  8 10  | 14  3  |
| 15 19  |  8  9  |  2 14  | 20 13  | 11  4  | 10  7  | 12 17  |  3 16  |  1 18  |  6  5  |
| 11  6  |  7 20  | 15  8  |  9 14  | 10 18  | 16  1  | 19  3  |  5 17  | 13 12  |  4  2  |
|  8  4  | 19  1  | 20  7  |  2 11  |  3 16  | 17  6  |  5 18  | 13 15  | 14  9  | 10 12  |
---------------------------------------------------------------------------------------------------------------
