---------------------------------------------------------------------------------------------------------------
|  1 16  |  3 19  |  5 17  | 11 15  |  7 13  |  8 20  | 14  4  |  9  6  | 10  2  | 18 12  |
|  8 12  | 15  6  | 18 20  | 10  3  |  2 14  | 13 11  | 17  5  |  4 19  |  9 16  |  1  7  |
|  4  3  |  5  1  | 10 12  | 20 17  |  9 11  | 19 15  |  2 18  | 16 13  |  6  7  |  8 14  |
| 17  9  | 13 12  |  3  6  | 19  5  | 15 10  | 14 16  | 11  8  |  1  7  |  4 18  |  2 20  |
| 15 11  |  4  9  | 14 19  |  6 18  |  3 20  | 17 10  |  7  1  |  5  2  |  8 12  | 16 13  |
| 20 18  | 17  7  | 15  9  |  1  4  |  5 19  |  3  2  | 16  6  |  8 12  | 13 14  | 10 11  |
|  5 19  | 16 18  |  1 13  |  9  2  | 17  8  |  7  6  | 10 12  | 14 11  |  3 20  |  4 15  |
|  2 13  | 11  8  |  4 16  |  7 14  |  1 18  |  5 12  | 19  3  | 10 20  | 15 17  |  6  9  |
| 10  6  |  2 14  | 11  7  | 13  8  | 16 12  |  1  4  | 20  9  | 18 15  | 19  5  |  3 17  |
| 14  7  | 10 20  |  2  8  | 16 12  |  6  4  |  9 18  | 15 13  |  3 17  | 11  1  |  5 19  |
---------------------------------------------------------------------------------------------------------------
|  6  8  | 14  4  | 13  2  |  5  7  | 18 15  | 20 17  |  3 16  | 19 10  | 12 11  |  9  1  |
|  3  1  | 18  5  | 12 11  | 14  6  | 19 17  | 15  8  |  9 20  |  7 16  |  2  4  | 13 10  |
| 13  4  |  6  3  | 20  1  | 18 10  |  8  5  | 16  9  | 12 15  | 17 14  |  7 19  | 11  2  |
| 11  5  |  7 15  |  6  3  |  4 16  | 20  9  | 18 19  | 13  2  | 12  1  | 14 10  | 17  8  |
|  9 17  | 20 11  |  7 15  |  2 13  | 10 16  | 12  3  | 18 19  |  6  4  |  1  8  | 14  5  |
| 18 14  | 12  2  |  8  5  |  3  1  | 11  7  |  6 13  |  4 10  | 20  9  | 17 15  | 19 16  |
| 16  2  |  1 13  | 19 10  | 15 20  | 12  6  |  4 14  |  8 17  | 11  3  |  5  9  |  7 18  |
| 12 20  |  9 17  | 16  4  |  8 19  | 14  3  | 10  7  |  1 11  |  2  5  | 18 13  | 15  6  |
|  7 15  | 19 10  | 17 18  | 12  9  |  4  2  | 11  1  |  5 14  | 13  8  | 16  6  | 20  3  |
| 19 10  |  8 16  |  9 14  | 17 11  | 13  1  |  2  5  |  6  7  | 15 18  | 20  3  | 12  4  |
---------------------------------------------------------------------------------------------------------------
