---------------------------------------------------------------------------------------------------------------
|  4  5  |  1 15  | 13 16  |  6  9  | 18  3  |  2 19  | 12 11  | 17  8  |  7 14  | 10 20  |
| 20  3  |  2 19  |  7  4  |  1 12  | 17  8  | 18  5  | 15 14  |  6 10  |  9 11  | 16 13  |
| 13  8  |  4  3  | 19  6  | 11 15  | 12  1  | 17 16  |  5  2  | 18  7  | 10 20  | 14  9  |
| 11 12  |  5  6  |  2  9  | 16  7  | 19 20  |  3  1  | 18 10  | 14  4  |  8 13  | 15 17  |
|  7 10  | 11 13  | 12 14  |  4 17  | 16  6  | 20  8  |  3 19  |  5  9  | 18 15  |  2  1  |
| 15  6  | 17  7  | 11  1  | 13 19  |  9  2  | 10 14  |  8 20  |  3 16  |  5  4  | 18 12  |
| 17  2  | 20 10  |  5  3  | 18  8  | 13 14  |  4  7  |  9 16  | 19 15  |  1 12  |  6 11  |
|  9 18  | 16 14  | 20  8  |  3 10  | 11  7  | 13 15  | 17  4  |  1 12  |  6  2  |  5 19  |
| 14 19  | 18 12  | 10 15  | 20  2  |  4  5  |  9  6  |  7  1  | 13 11  | 17 16  |  8  3  |
| 16  1  |  9  8  | 17 18  | 14  5  | 15 10  | 11 12  | 13  6  |  2 20  | 19  3  |  4  7  |
---------------------------------------------------------------------------------------------------------------
|  3 13  | 19 16  | 18 11  | 17  1  | 14  4  |  5 20  |  6  9  | 12  2  | 15  8  |  7 10  |
|  8 14  |  6  1  | 16  5  |  2 11  | 20 17  | 19  4  | 10 12  |  7 18  |  3  9  | 13 15  |
|  2 17  | 10 18  |  3 20  |  8 16  |  5 12  | 14 11  |  1  7  | 15 19  | 13  6  |  9  4  |
| 18 11  | 15  4  |  9 17  | 12 20  |  6 16  |  1 13  | 19  5  | 10 14  |  2  7  |  3  8  |
|  6 15  | 13  5  |  4 19  |  9 18  |  3 11  |  7 17  | 20  8  | 16  1  | 14 10  | 12  2  |
| 10 16  | 12 11  |  1 13  | 15  6  |  7 18  |  8  3  |  2 17  |  9  5  |  4 19  | 20 14  |
|  1  9  |  3 17  | 14 10  |  7 13  |  8 15  | 12  2  | 11 18  |  4  6  | 20  5  | 19 16  |
|  5  4  |  7  9  |  8 12  | 19  3  |  2 13  |  6 10  | 14 15  | 20 17  | 16  1  | 11 18  |
| 19  7  |  8 20  | 15  2  |  5 14  | 10  9  | 16 18  |  4 13  | 11  3  | 12 17  |  1  6  |
| 12 20  | 14  2  |  6  7  | 10  4  |  1 19  | 15  9  | 16  3  |  8 13  | 11 18  | 17  5  |
---------------------------------------------------------------------------------------------------------------
