---------------------------------------------------------------------------------------------------------------
|  8  9  | 12 18  |  1 13  | 17  2  |  7 19  | 20 10  |  4  5  | 11 15  |  3  6  | 14 16  |
| 12  3  |  8 10  | 14  2  | 11 18  | 15  6  | 19  9  | 13 20  |  7  5  | 16  4  |  1 17  |
| 19 10  | 11  7  | 12  3  | 13 16  |  2 18  | 17  1  | 14  9  |  4 20  |  8  5  |  6 15  |
| 15 11  |  9  6  | 10  8  |  1 20  | 12 17  |  2  7  | 19  3  | 14 16  | 18 13  |  4  5  |
| 18  7  | 14  5  |  9 20  | 10  4  | 16  8  | 12 11  | 17  1  | 19  6  | 15  2  | 13  3  |
|  1 13  |  2 15  |  6  7  | 14  9  | 20  4  | 18  5  | 12 16  | 17  3  | 19 11  |  8 10  |
|  6  5  | 13 19  | 11 15  | 12  7  |  1  3  | 16  4  | 10  2  | 18  8  | 17 14  |  9 20  |
|  4 14  |  1  3  | 16 17  |  5  6  | 10  9  | 13 15  | 11  8  |  2 12  | 20  7  | 19 18  |
| 16 20  | 17  4  | 18 19  |  3 15  | 11  5  |  8 14  |  7  6  |  1 13  | 10  9  |  2 12  |
|  2 17  | 16 20  |  5  4  |  8 19  | 14 13  |  6  3  | 18 15  | 10  9  | 12  1  | 11  7  |
---------------------------------------------------------------------------------------------------------------
|  7 16  |  6 17  | 19 14  |  4 11  |  9  2  |  5 12  |  3 18  | 15  1  | 13 20  | 10  8  |
|  3  2  | 15 12  |  8 18  |  7  1  |  6 16  |  4 13  |  9 14  |  5 17  | 11 10  | 20 19  |
| 11  1  | 19  2  |  3  6  | 18 14  | 17  7  |  9  8  | 15 13  | 20 10  |  5 12  | 16  4  |
|  5  8  | 10 16  |  2 11  | 19 13  | 18 14  |  1 20  |  6 17  | 12  4  |  7 15  |  3  9  |
|  9 19  |  7 11  |  4 16  |  2  3  | 13 15  | 10 17  | 20 12  |  6 18  |  1  8  |  5 14  |
| 17  6  |  4 14  | 13 10  | 20  8  | 19 11  | 15 18  |  5  7  | 16  2  |  9  3  | 12  1  |
| 14  4  |  5  9  | 15  1  |  6 12  |  8 20  |  7 19  | 16 10  |  3 11  |  2 18  | 17 13  |
| 20 15  | 18  1  | 17  5  |  9 10  |  3 12  | 14  6  |  8 11  | 13 19  |  4 16  |  7  2  |
| 10 12  |  3 13  | 20  9  | 15 17  |  5  1  | 11 16  |  2  4  |  8  7  | 14 19  | 18  6  |
| 13 18  | 20  8  |  7 12  | 16  5  |  4 10  |  3  2  |  1 19  |  9 14  |  6 17  | 15 11  |
---------------------------------------------------------------------------------------------------------------
