---------------------------------------------------------------------------------------------------------------
| 20 13  | 12  6  |  1  3  | 14 18  | 17 19  |  9 16  | 10 11  |  4  7  |  8  2  |  5 15  |
|  3 10  |  5 14  | 20  4  | 11 16  | 13  6  | 18  7  |  9  1  |  8 17  | 19 15  |  2 12  |
|  5 16  | 10 20  | 11 18  |  3  7  |  4  9  |  6 19  | 12 14  | 15  2  | 17  1  |  8 13  |
|  9 17  | 16  7  | 12 13  | 19  8  |  3  1  |  4 11  | 15  2  |  6 18  | 10  5  | 20 14  |
|  2 11  |  3  8  |  5  9  | 17 13  | 16 10  | 20 15  |  6  4  | 14  1  | 18 12  | 19  7  |
| 12  7  | 11 17  | 14 19  |  9 10  | 18 15  |  2  1  | 20  8  |  3  5  |  6 13  | 16  4  |
|  1  8  | 15 13  |  7 17  | 20 12  | 11  2  |  3 10  | 16  5  |  9 19  | 14  4  |  6 18  |
|  6 19  |  1 18  | 10 15  |  2  4  | 14  8  | 12  5  |  3 13  | 11 16  | 20  7  | 17  9  |
|  4 14  |  9  2  |  8 16  |  6 15  |  5  7  | 13 17  | 18 19  | 12 20  |  3 11  |  1 10  |
| 15 18  | 19  4  |  6  2  |  5  1  | 20 12  |  8 14  |  7 17  | 10 13  | 16  9  |  3 11  |
---------------------------------------------------------------------------------------------------------------
|  7  3  | 20 15  | 18 10  | 13  2  |  9 11  | 17  6  |  5 16  | 19  8  |  4 14  | 12  1  |
| 11  1  |  2  3  |  9 20  | 10 17  | 15 13  |  5 18  |  8  7  | 16 14  | 12 19  |  4  6  |
| 14  4  | 17 12  | 13  8  | 16  3  | 10 18  |  7  2  |  1 15  |  5  6  |  9 20  | 11 19  |
| 13  2  |  4  9  |  3 14  |  7 11  |  1 17  | 10  8  | 19 18  | 20 12  |  5  6  | 15 16  |
| 10  9  |  6  1  |  2 12  |  8 14  | 19  4  | 11 20  | 17  3  | 18 15  | 13 16  |  7  5  |
| 19  6  | 14 16  |  4 11  | 12 20  |  7  5  |  1 13  |  2 10  | 17  9  | 15  8  | 18  3  |
| 18 15  | 13 11  | 19  1  |  4  5  |  8 20  | 16 12  | 14  6  |  7 10  |  2  3  |  9 17  |
| 17 20  |  7 19  | 15  5  |  1  9  |  6 16  | 14  4  | 13 12  |  2  3  | 11 18  | 10  8  |
| 16 12  |  8  5  | 17  6  | 18 19  |  2 14  | 15  3  | 11  9  |  1  4  |  7 10  | 13 20  |
|  8  5  | 18 10  | 16  7  | 15  6  | 12  3  | 19  9  |  4 20  | 13 11  |  1 17  | 14  2  |
---------------------------------------------------------------------------------------------------------------
