---------------------------------------------------------------------------------------------------------------
|  5 17  | 18  6  |  8  4  | 16 12  | 20 13  |  7 10  |  1 19  | 11  2  | 15 14  |  9  3  |
| 15  6  | 12 11  | 18 16  |  2  4  |  1 14  | 20 13  |  5  7  |  3  9  | 17  8  | 10 19  |
|  4 16  |  9 19  |  6 14  | 13  1  | 12 10  | 11  2  | 18  3  |  5 15  | 20  7  |  8 17  |
| 19 20  | 13 10  |  3  5  |  6  7  |  2 18  | 12  4  | 11 16  |  8 17  |  9  1  | 15 14  |
| 14 18  |  5 15  | 13  2  |  3 10  |  6 19  | 17  9  | 20  8  |  1  7  | 11 16  | 12  4  |
| 10  2  |  4 14  | 20 11  |  8 17  |  7 16  |  6  1  |  9 15  | 18 19  |  3 12  | 13  5  |
| 13  9  | 20  7  | 10 19  | 14 18  |  5  3  | 15  8  | 17  2  | 12 16  |  4  6  |  1 11  |
| 11  3  |  2 17  | 15  1  | 19 20  |  8  9  | 16 18  | 12 14  |  4 13  |  5 10  |  7  6  |
| 12  1  | 16  8  | 17  7  |  5  9  | 11 15  | 19  3  |  4 10  | 14  6  | 18 13  | 20  2  |
|  7  8  |  3  1  |  9 12  | 15 11  | 17  4  |  5 14  | 13  6  | 10 20  | 19  2  | 18 16  |
---------------------------------------------------------------------------------------------------------------
|  6  7  |  1  2  | 19 15  |  4 14  |  3 12  |  9 16  | 10 18  | 20  5  | 13 11  | 17  8  |
| 17 11  |  6 18  |  2  9  | 12 19  | 14  7  | 13  5  |  3  1  | 16 10  |  8 20  |  4 15  |
| 18 13  | 17 12  |  5  6  |  1 15  | 19 20  | 10  7  |  8  4  |  2 11  | 16  3  | 14  9  |
| 16 19  |  7 13  |  1 18  |  9  2  | 10  5  |  8 20  |  6 11  | 15  4  | 14 17  |  3 12  |
|  1 12  | 11  9  | 16 17  | 18  8  | 13  6  | 14 19  | 15 20  |  7  3  |  2  4  |  5 10  |
| 20 14  | 19 16  | 12 13  | 17  6  |  4  8  |  3 15  |  2  5  |  9  1  | 10 18  | 11  7  |
|  9  5  | 14  4  | 11 10  | 20  3  | 18 17  |  2  6  | 19 12  | 13  8  |  7 15  | 16  1  |
|  3  4  | 10 20  | 14  8  | 11 16  | 15  1  | 18 17  |  7  9  | 19 12  |  6  5  |  2 13  |
|  8 10  | 15  3  |  4 20  |  7  5  |  9  2  |  1 11  | 16 13  | 17 14  | 12 19  |  6 18  |
|  2 15  |  8  5  |  7  3  | 10 13  | 16 11  |  4 12  | 14 17  |  6 18  |  1  9  | 19 20  |
---------------------------------------------------------------------------------------------------------------
