---------------------------------------------------------------------------------------------------------------
| 17  8  |  9 18  | 19 12  |  1 14  |  4  6  |  2  3  | 13 20  | 10  7  | 15 16  |  5 11  |
| 16  1  | 13 15  |  7 18  | 19  6  |  5 11  |  4 10  | 12  8  | 20  3  |  9  2  | 17 14  |
| 11  6  | 10 12  |  9 15  |  2  3  | 14 16  |  8 18  |  4  5  | 13 19  | 20 17  |  1  7  |
|  2 13  | 11 17  |  8 10  | 12  7  |  3 20  |  6  5  |  9 16  | 18 14  |  1 19  | 15  4  |
|  5 19  |  1 16  | 13 11  |  9  8  |  7 12  | 14 20  | 18 15  |  4 17  |  3 10  |  2  6  |
|  4  7  |  2 19  |  6  1  | 18 17  | 10 13  | 12  9  |  3 14  |  8 15  | 11  5  | 20 16  |
| 20 15  |  4  8  | 17 14  | 13 16  | 18 19  |  7 11  | 10  1  |  5  2  | 12  6  |  3  9  |
|  9 14  |  7 20  |  4  3  |  5 10  |  8  2  | 15 17  |  6 11  |  1 16  | 18 13  | 12 19  |
| 12 10  |  6  3  | 16  5  |  4 20  | 15 17  | 13  1  |  2 19  | 11  9  | 14  7  | 18  8  |
|  3 18  | 14  5  |  2 20  | 11 15  |  1  9  | 16 19  | 17  7  |  6 12  |  8  4  | 13 10  |
---------------------------------------------------------------------------------------------------------------
| 19 20  | 12 13  | 10  6  | 14  2  | 11  1  | 18  8  | 16 17  |  3  4  |  5  9  |  7 15  |
| 14  5  | 19  4  | 15 17  |  7 11  | 13 10  | 20 16  |  8 18  |  9  1  |  2 12  |  6  3  |
|  8 16  |  3 14  | 18 13  | 17  5  | 20  7  | 11  4  | 15  6  |  2 10  | 19  1  |  9 12  |
| 15  2  |  5  1  |  3 19  |  8  4  | 17 14  |  9  6  |  7 12  | 16 18  | 13 11  | 10 20  |
| 10 11  | 15  9  |  5  4  | 20 19  | 12  3  | 17 14  |  1  2  |  7  6  | 16 18  |  8 13  |
|  7 17  |  8 11  |  1  2  | 15 12  | 19  4  | 10 13  | 20  9  | 14  5  |  6  3  | 16 18  |
|  6  4  | 20  7  | 12  8  | 16 13  |  9 18  |  1 15  |  5  3  | 17 11  | 10 14  | 19  2  |
| 18 12  | 17 10  | 11  9  |  6  1  | 16  8  |  3  2  | 14 13  | 19 20  |  7 15  |  4  5  |
|  1  9  | 16  6  | 20  7  |  3 18  |  2  5  | 19 12  | 11 10  | 15 13  |  4  8  | 14 17  |
| 13  3  | 18  2  | 14 16  | 10  9  |  6 15  |  5  7  | 19  4  | 12  8  | 17 20  | 11  1  |
---------------------------------------------------------------------------------------------------------------
