---------------------------------------------------------------------------------------------------------------
| 15 12  | 18 19  |  9  1  | 16 20  |  5 10  |  8  4  | 17 11  | 14  7  |  6  2  |  3 13  |
| 19  9  | 15 12  |  3 20  |  4  6  |  2 13  | 14  7  |  8  5  | 17 11  | 16  1  | 18 10  |
| 13  1  |  4 20  | 10  6  |  5  7  |  3 12  | 16 15  | 18 14  |  8  2  | 17 11  |  9 19  |
| 16 10  | 17 11  |  8  4  |  1 14  | 15  7  |  3  5  | 12  9  | 13 18  | 19 20  |  6  2  |
| 17 20  | 16 10  | 15 12  | 19  2  |  4  6  | 11 13  |  3  7  |  5  9  | 18  8  | 14  1  |
|  6  7  |  8  1  | 16 19  | 10 17  | 11 20  | 12 18  | 13  2  |  3  4  |  9 14  |  5 15  |
|  3  2  |  7  6  | 17 14  | 12 13  | 16 18  |  9 10  |  4 20  | 19  1  |  5 15  | 11  8  |
| 14 18  |  9  3  |  7  5  |  8 11  | 17  1  |  2 20  | 16 19  |  6 15  | 13 10  | 12  4  |
| 11  4  |  2  5  | 18 13  |  3  9  |  8 14  | 19  1  | 15  6  | 16 10  |  7 12  | 17 20  |
|  5  8  | 14 13  | 11  2  | 18 15  | 19  9  |  6 17  |  1 10  | 20 12  |  4  3  | 16  7  |
---------------------------------------------------------------------------------------------------------------
|  8  3  | 19 16  | 13  9  |  2 12  |  1  5  |  7  6  | 20 15  | 10 17  | 14 18  |  4 11  |
| 12 17  | 10  4  | 20 18  | 13 19  | 14 16  |  5  8  |  2  1  |  7  6  | 11  9  | 15  3  |
|  9 19  |  1 17  |  4  3  |  7 18  | 13  2  | 10 16  | 14  8  | 11  5  | 15  6  | 20 12  |
| 10 15  | 20  9  |  1  7  |  6  4  | 12 19  | 18 14  | 11 17  |  2 13  |  3 16  |  8  5  |
|  7  6  |  3 14  | 12 10  |  9  5  | 20  4  | 13 11  | 19 16  | 15  8  |  1 17  |  2 18  |
| 20 13  |  6  2  | 14 11  | 17  1  |  9  3  | 15 12  |  5 18  |  4 19  |  8  7  | 10 16  |
|  2 16  | 12  7  |  5  8  | 15  3  |  6 11  | 17 19  | 10 13  | 18 14  | 20  4  |  1  9  |
| 18 11  | 13 15  | 19 16  | 20  8  | 10 17  |  4  9  |  6 12  |  1  3  |  2  5  |  7 14  |
|  4 14  |  5 18  |  6 15  | 11 16  |  7  8  |  1  2  |  9  3  | 12 20  | 10 13  | 19 17  |
|  1  5  | 11  8  |  2 17  | 14 10  | 18 15  | 20  3  |  7  4  |  9 16  | 12 19  | 13  6  |
---------------------------------------------------------------------------------------------------------------
