---------------------------------------------------------------------------------------------------------------
|  3 16  | 12  5  | 17 11  |  9  4  |  2 20  | 18 10  |  1  7  | 13 19  |  6 15  |  8 14  |
|  5 12  | 18  8  |  9  3  | 17 13  |  4 10  |  1 19  | 14 20  | 16  6  |  7 11  |  2 15  |
|  8 20  |  6 13  |  7 10  | 18 19  |  9 16  |  4  3  | 15 11  |  2  1  | 14 12  |  5 17  |
| 11  9  |  3  2  |  8  6  | 10 15  | 19 13  | 17  7  |  4 12  | 20 14  |  5  1  | 16 18  |
| 18  7  | 17  9  | 19 20  | 12  5  |  8  6  | 16 14  | 13  2  | 15  4  | 10  3  |  1 11  |
| 15  4  |  1 14  |  5  2  |  8 16  | 17 18  |  9 12  | 10  3  | 11  7  | 13 19  |  6 20  |
| 10 17  | 16  4  | 12 18  | 11  7  | 14  1  |  8 15  | 19  6  |  5  3  |  2 20  | 13  9  |
|  2  1  | 11 10  |  4 13  |  6 14  |  7 15  | 20  5  | 16 17  |  9 12  |  8 18  | 19  3  |
|  6 19  | 15 20  |  1 14  |  2  3  |  5 12  | 13 11  | 18  9  | 17  8  | 16  4  |  7 10  |
| 14 13  | 19  7  | 16 15  | 20  1  | 11  3  |  2  6  |  5  8  | 10 18  | 17  9  |  4 12  |
---------------------------------------------------------------------------------------------------------------
| 13  2  |  7 15  | 14  5  |  3 10  |  6 11  | 19 18  |  9 16  |  1 20  | 12  8  | 17  4  |
| 12 18  |  2 16  | 15  4  |  7  8  |  3 14  | 11  9  | 17 19  |  6 10  |  1  5  | 20 13  |
| 16 11  | 13 18  |  2 19  |  5  9  | 12 17  |  3 20  |  8  1  | 14 15  |  4  6  | 10  7  |
|  4 14  |  5 11  | 10  8  | 19 20  | 15  9  |  6 16  |  3 13  |  7  2  | 18 17  | 12  1  |
| 17  3  | 14 19  | 20 16  | 15  2  | 10  8  |  7  1  |  6  4  | 12  9  | 11 13  | 18  5  |
|  7 15  |  9  6  | 18 17  | 16 11  |  1 19  | 14  8  | 12  5  |  4 13  | 20 10  |  3  2  |
|  9 10  |  8 17  |  6 12  |  1 18  | 13  4  | 15  2  | 20 14  | 19  5  |  3  7  | 11 16  |
| 20  8  | 10 12  | 13  1  | 14  6  | 16  7  |  5  4  | 11 18  |  3 17  |  9  2  | 15 19  |
| 19  5  | 20  1  |  3  9  |  4 17  | 18  2  | 12 13  |  7 10  |  8 11  | 15 16  | 14  6  |
|  1  6  |  4  3  | 11  7  | 13 12  | 20  5  | 10 17  |  2 15  | 18 16  | 19 14  |  9  8  |
---------------------------------------------------------------------------------------------------------------
