---------------------------------------------------------------------------------------------------------------
|  4  3  | 14 15  | 20  9  |  1 16  |  2 12  |  7 18  | 11 17  |  8 13  |  5  6  | 19 10  |
|  8  2  | 17 12  |  7 11  | 20 14  | 19  3  |  6 16  | 18  5  |  1 15  |  9 10  | 13  4  |
| 14 20  |  3 18  |  5 16  | 11 15  |  4  9  |  1  2  |  7 13  | 17 10  |  8 19  | 12  6  |
|  1 10  |  2  7  | 17  3  |  9  6  |  5 15  |  4 12  | 16  8  | 11 19  | 13 14  | 20 18  |
|  9 19  | 10  1  |  2 13  |  3 12  |  7  6  | 15 17  | 14 20  | 16 18  | 11  4  |  8  5  |
| 15 13  |  9  5  | 14 12  |  7 17  | 16 20  |  3  8  | 19 10  |  4  6  | 18  1  | 11  2  |
| 11 16  | 13  6  | 15 10  |  4 18  |  1  8  | 19  5  |  3 12  |  7  2  | 17 20  |  9 14  |
| 12  6  | 20  8  |  1 19  | 10 13  | 14 18  |  9 11  |  4 15  |  3  5  |  7  2  | 17 16  |
| 17  5  |  4 16  |  8 18  |  2 19  | 10 11  | 14 13  |  1  6  | 20  9  | 15 12  |  7  3  |
|  7 18  | 11 19  |  4  6  |  5  8  | 13 17  | 20 10  |  2  9  | 14 12  | 16  3  | 15  1  |
---------------------------------------------------------------------------------------------------------------
|  5  1  | 12  2  |  3  7  |  6 10  | 11 13  | 16 19  |  9 18  | 15 17  | 14  8  |  4 20  |
| 10 14  |  7 11  | 12  1  | 16  2  |  3  4  | 18  6  | 13 19  |  9  8  | 20 15  |  5 17  |
| 18  4  | 19 20  | 16 14  | 12  7  |  9 10  | 11 15  |  8  2  |  5  3  |  1 17  |  6 13  |
|  2  7  | 15  9  |  6  5  | 14  1  | 12 16  |  8 20  | 17  4  | 10 11  |  3 13  | 18 19  |
| 20  9  |  5 17  | 19  2  | 13  4  | 18  1  | 10 14  | 15 11  |  6 16  | 12  7  |  3  8  |
| 16 11  |  6  4  | 10 20  | 19  9  |  8  5  | 17  1  | 12  3  | 13  7  |  2 18  | 14 15  |
| 13 12  | 16  3  | 11 15  |  8 20  | 17  2  |  5  4  |  6  1  | 18 14  | 19  9  | 10  7  |
|  3 15  |  1 13  | 18  8  | 17 11  |  6 19  | 12  7  | 10 14  |  2 20  |  4  5  | 16  9  |
| 19 17  |  8 10  |  9  4  | 18  5  | 15 14  | 13  3  | 20  7  | 12  1  |  6 16  |  2 11  |
|  6  8  | 18 14  | 13 17  | 15  3  | 20  7  |  2  9  |  5 16  | 19  4  | 10 11  |  1 12  |
---------------------------------------------------------------------------------------------------------------
