---------------------------------------------------------------------------------------------------------------
|  1 20  | 17 18  |  9 11  |  2  4  |  6  3  |  7  8  | 16 19  | 12  5  | 10 15  | 13 14  |
|  5  9  |  7 12  | 17 10  |  8 19  | 14  1  |  3 13  |  6  4  | 11 18  | 20  2  | 15 16  |
|  3  2  |  9  1  | 19 14  | 17 12  | 15  5  |  6 10  |  7 20  |  8  4  | 16 13  | 18 11  |
| 11  8  | 20  2  | 12 13  |  9  1  | 17  7  | 14 15  |  3 10  | 16  6  |  4 18  |  5 19  |
|  7  4  | 10 16  | 20  2  | 13 15  | 19  9  | 17 11  |  5 18  | 14  3  |  6 12  |  1  8  |
| 14 18  |  8  3  |  1  6  | 11 20  | 12 16  | 19  2  |  9 17  | 13 15  |  5  7  |  4 10  |
| 17 13  | 11  5  |  7  8  |  3 14  |  2 18  | 16  4  | 15  1  | 10 20  |  9 19  |  6 12  |
| 15 12  | 13 14  |  3  5  |  6 16  |  4 10  | 20 18  |  2 11  | 19  7  |  1  8  |  9 17  |
|  6 19  | 15  4  | 18 16  |  7 10  | 11  8  |  1  5  | 12 13  |  2  9  | 14 17  | 20  3  |
| 10 16  | 19  6  |  4 15  | 18  5  | 13 20  |  9 12  |  8 14  |  1 17  | 11  3  |  7  2  |
---------------------------------------------------------------------------------------------------------------
|  4  7  |  6 17  |  2 12  | 19  8  | 10 15  |  5 16  | 11  3  | 18  1  | 13  9  | 14 20  |
| 12  5  |  3  9  |  6  7  | 10 11  | 16 14  |  4 17  | 20  2  | 15 19  | 18  1  |  8 13  |
| 19 14  |  5  7  | 11 20  | 16  6  |  1 13  |  2  3  | 17 12  |  9  8  | 15  4  | 10 18  |
| 13  3  |  4 10  | 15 17  |  1  9  |  5 12  |  8 14  | 18 16  | 20 11  |  2  6  | 19  7  |
|  2 10  | 16 19  |  8 18  | 20 13  |  7 11  | 15  1  |  4  5  |  6 12  |  3 14  | 17  9  |
|  8 15  |  1 13  | 16 19  |  4  7  | 20 17  | 18  9  | 14  6  |  3  2  | 12 10  | 11  5  |
| 20  1  |  2  8  | 14  9  | 15  3  | 18 19  | 10  6  | 13  7  |  5 16  | 17 11  | 12  4  |
| 16  6  | 14 20  | 10  3  | 12 18  |  9  4  | 11 19  |  1  8  | 17 13  |  7  5  |  2 15  |
| 18 11  | 12 15  |  5  1  | 14 17  |  3  2  | 13  7  | 19  9  |  4 10  |  8 20  | 16  6  |
|  9 17  | 18 11  | 13  4  |  5  2  |  8  6  | 12 20  | 10 15  |  7 14  | 19 16  |  3  1  |
---------------------------------------------------------------------------------------------------------------
