---------------------------------------------------------------------------------------------------------------
|  2  7  | 12  1  | 13 16  |  5  6  |  4 17  |  3 18  | 10 14  | 11 15  | 20  9  | 19  8  |
|  9 16  |  2  5  | 18 10  |  3 11  | 19  7  |  8  4  |  6 17  | 20 12  | 13  1  | 14 15  |
| 15 19  | 16  6  |  2  5  | 14 10  | 11  9  | 17 13  |  8  4  |  1  3  | 12 18  | 20  7  |
| 11  4  | 17  3  | 20 19  | 16  2  | 13 10  |  1 12  | 18  7  | 14  5  |  8 15  |  9  6  |
| 12  6  | 15  9  |  7 14  | 19 13  |  2 16  | 10  5  | 11 20  | 18  8  |  3  4  |  1 17  |
| 10 18  |  4 11  |  9  6  | 15  8  |  3  5  | 16 20  |  1 12  | 17  7  | 19 14  | 13  2  |
|  1 20  | 13  8  |  4 15  |  9 17  |  6 18  |  7 14  |  3  5  | 10 19  |  2 11  | 12 16  |
|  5 13  | 10 19  |  1 17  | 20 12  |  8 14  | 11  6  | 15  2  |  4  9  |  7 16  |  3 18  |
|  8 14  | 20  7  | 12  3  |  4 18  | 15  1  |  2 19  | 16  9  |  6 13  | 17  5  | 10 11  |
|  3 17  | 18 14  | 11  8  |  7  1  | 12 20  | 15  9  | 19 13  |  2 16  | 10  6  |  4  5  |
---------------------------------------------------------------------------------------------------------------
| 20  9  |  5 15  | 16  7  |  1  4  | 18  8  | 14 10  |  2  3  | 12 11  |  6 19  | 17 13  |
| 17  3  |  6  4  |  5  1  | 12  7  | 20 11  | 18 16  | 14 19  |  9  2  | 15 13  |  8 10  |
|  7  2  |  9 20  | 19  4  |  8  3  | 14 15  |  6 17  | 12 16  | 13 18  |  5 10  | 11  1  |
| 18  5  |  3 16  |  6 20  | 17 19  |  9  4  | 13  2  |  7 11  |  8 10  |  1 12  | 15 14  |
|  6  8  |  1 10  | 17 12  | 13  9  |  7 19  |  4 11  | 20 18  | 15 14  | 16  2  |  5  3  |
| 16 11  |  8 17  | 14 13  | 18  5  |  1  6  | 12 15  |  4 10  |  7 20  |  9  3  |  2 19  |
|  4  1  | 11  2  | 15  9  | 10 16  | 17 12  |  5  3  | 13  8  | 19  6  | 14  7  | 18 20  |
| 13 12  | 19 18  |  8 11  |  2 14  | 10  3  | 20  7  |  5 15  | 16  1  |  4 17  |  6  9  |
| 14 15  |  7 12  | 10  2  | 11 20  |  5 13  | 19  1  |  9  6  |  3 17  | 18  8  | 16  4  |
| 19 10  | 14 13  |  3 18  |  6 15  | 16  2  |  9  8  | 17  1  |  5  4  | 11 20  |  7 12  |
---------------------------------------------------------------------------------------------------------------
