---------------------------------------------------------------------------------------------------------------
|  1  4  | 12 11  |  5 15  |  8 13  |  2 20  |  6 18  | 16  7  | 14 17  |  3 10  | 19  9  |
|  9  7  | 19  5  | 20 11  | 14  2  | 13  4  | 17 15  |  1  6  | 10  3  | 16 12  |  8 18  |
|  2 11  | 15  7  | 14  4  | 18  9  |  8  6  | 20 13  |  5 19  | 12 16  | 17  1  | 10  3  |
|  8  5  | 13 16  | 10 19  | 15  3  |  9 14  |  7  1  | 17 20  | 18  2  |  4  6  | 12 11  |
| 12 15  | 10  2  | 17 16  |  4 20  | 18  7  |  3  8  | 14 11  |  6 19  | 13  9  |  1  5  |
|  3 20  |  1  9  |  8 18  | 17 10  | 11 16  | 14  4  | 13 12  |  7 15  | 19  5  |  6  2  |
| 18 16  |  6 14  |  2  3  |  7 11  | 10 15  | 12 19  |  4  9  |  1  5  | 20  8  | 17 13  |
| 14 17  | 18  4  | 12  1  |  5  6  | 19  3  | 11  9  | 15 10  | 13  8  |  2  7  | 16 20  |
|  6 13  |  8 17  |  7  9  | 19 16  | 12  1  | 10  5  |  3  2  |  4 20  | 18 11  | 15 14  |
| 19 10  | 20  3  | 13  6  | 12  1  |  5 17  |  2 16  | 18  8  | 11  9  | 15 14  |  7  4  |
---------------------------------------------------------------------------------------------------------------
|  5 19  |  4 15  | 16 14  |  1 18  | 17 10  |  9  2  | 12 13  |  3  6  |  8 20  | 11  7  |
| 10 14  |  5 12  |  3 20  |  2  7  |  4 18  |  1 11  |  8 16  | 15 13  |  6 19  |  9 17  |
| 17  3  | 16 13  |  1  7  | 10 14  | 15  2  | 18  6  | 19  5  |  8 11  |  9  4  | 20 12  |
| 11  9  | 17  8  |  4 13  |  3  5  |  1 19  | 16  7  | 20 18  |  2 12  | 10 15  | 14  6  |
|  4  2  | 14  6  | 15 17  | 20  8  |  7 11  |  5  3  | 10  1  |  9 18  | 12 16  | 13 19  |
| 13 12  |  2 10  | 18  8  | 11  4  | 14  9  | 15 20  |  6  3  | 19  1  |  7 17  |  5 16  |
| 20  8  |  9  1  |  6 10  | 16 12  |  3 13  | 19 14  |  2 17  |  5  7  | 11 18  |  4 15  |
| 16  6  | 11 18  |  9  5  | 13 19  | 20  8  |  4 12  |  7 15  | 17 10  | 14  3  |  2  1  |
|  7  1  |  3 19  | 11  2  |  6 15  | 16 12  |  8 17  |  9  4  | 20 14  |  5 13  | 18 10  |
| 15 18  |  7 20  | 19 12  |  9 17  |  6  5  | 13 10  | 11 14  | 16  4  |  1  2  |  3  8  |
---------------------------------------------------------------------------------------------------------------
