---------------------------------------------------------------------------------------------------------------
| 20 11  |  9  7  | 19 12  |  8 10  | 17 15  |  1  4  |  6 14  |  2 18  |  3 16  | 13  5  |
|  2 10  | 18 14  | 20 17  | 15  1  |  4  6  | 19 11  | 16  8  |  9  5  | 12 13  |  3  7  |
| 16  7  | 20  6  |  9  3  | 19 14  |  2 18  | 15  8  |  4 10  | 11 13  |  5 17  | 12  1  |
|  8 15  | 11 16  |  6  5  | 17 20  |  1  3  |  7 18  | 12 13  |  4 10  |  2  9  | 14 19  |
| 19  6  | 10 12  | 11 16  |  5  3  | 13 20  | 17 14  | 15  1  |  7  8  | 18  4  |  2  9  |
|  5 14  | 13  2  |  7 18  | 11 12  | 19  8  |  3 10  | 17  9  |  1 15  |  6 20  |  4 16  |
| 12  1  | 19 15  | 14  8  |  7  4  |  9  5  | 13  2  | 18  3  | 17 16  | 10 11  | 20  6  |
| 13 18  |  5  1  | 10  4  |  2  9  | 14 11  | 16 12  | 19 20  |  3  6  |  8  7  | 17 15  |
|  9  3  |  4 17  | 13 15  | 18 16  | 10 12  |  5  6  |  7  2  | 19 20  |  1 14  |  8 11  |
| 17  4  |  3  8  |  2  1  | 13  6  | 16  7  |  9 20  |  5 11  | 12 14  | 15 19  | 18 10  |
---------------------------------------------------------------------------------------------------------------
|  6 19  | 15 13  | 17 20  |  3  5  | 12 10  |  4 16  |  2 18  |  8 11  |  7  1  |  9 14  |
| 11  8  | 17  5  | 18  6  | 16 13  |  7  9  | 14  1  |  3  4  | 15  2  | 19 12  | 10 20  |
|  3 12  | 16 19  |  8 14  | 20  7  | 15  4  | 10  5  |  1  6  | 18  9  | 17  2  | 11 13  |
| 15 17  |  2 18  |  1 10  | 12  8  |  3 14  |  6  9  | 13 19  | 20  7  | 11  5  | 16  4  |
| 18  2  |  1  9  | 16 11  | 14 17  |  6 19  | 12  7  |  8  5  | 13  4  | 20 10  | 15  3  |
|  1 13  |  6  3  | 15  7  | 10  2  | 20 16  | 11 19  |  9 12  | 14 17  |  4 18  |  5  8  |
| 14  5  | 12 11  |  3 13  |  4 19  |  8  2  | 20 15  | 10 17  | 16  1  |  9  6  |  7 18  |
| 10  9  |  7 20  |  4 19  |  1 15  | 18 17  |  8 13  | 11 16  |  5 12  | 14  3  |  6  2  |
|  4 20  |  8 10  | 12  2  |  9 11  |  5 13  | 18  3  | 14  7  |  6 19  | 16 15  |  1 17  |
|  7 16  | 14  4  |  5  9  |  6 18  | 11  1  |  2 17  | 20 15  | 10  3  | 13  8  | 19 12  |
---------------------------------------------------------------------------------------------------------------
