---------------------------------------------------------------------------------------------------------------
|  3  1  |  9 10  |  2  7  | 20 11  | 13  8  | 17 14  | 12 16  |  4 18  |  5 19  | 15  6  |
| 13  8  | 11  4  | 19  6  |  2  1  | 10 17  | 12 20  |  9  7  | 16  5  | 14 15  |  3 18  |
| 20 17  |  1 13  | 11  3  |  6  5  |  9 19  |  8  7  | 15 18  | 14 12  |  4  2  | 16 10  |
| 12 18  |  3 14  |  1  4  | 19 15  |  7  2  |  9  6  | 10  8  | 11 17  | 16 13  |  5 20  |
| 16 15  |  8  5  | 20 10  |  7  4  |  1 11  | 13 18  | 14 17  |  9 19  |  3  6  |  2 12  |
| 19  7  | 16 12  | 13  8  |  3 14  |  4  5  |  1 15  | 20  2  | 10  6  | 17 18  |  9 11  |
| 14  4  |  6  2  |  5 16  | 13 17  | 12 18  | 10 19  |  1 11  |  3 15  |  9 20  |  7  8  |
|  6 10  | 15 17  | 18 14  |  8  9  |  3 20  |  2 16  | 19  5  |  1  7  | 12 11  |  4 13  |
|  2 11  | 19 20  | 17  9  | 18 12  | 15 16  |  5  4  |  6  3  |  8 13  |  7 10  | 14  1  |
|  5  9  |  7 18  | 15 12  | 16 10  | 14  6  |  3 11  | 13  4  |  2 20  |  1  8  | 17 19  |
---------------------------------------------------------------------------------------------------------------
| 11  2  | 17  7  | 10 19  |  9  6  | 18 12  | 15  1  |  3 13  |  5 14  |  8  4  | 20 16  |
| 17  3  | 18  1  |  6 15  | 14 16  |  2  4  | 19  9  |  8 12  | 13 11  | 20  7  | 10  5  |
| 10  5  | 13 15  |  7 17  | 11  2  |  8 14  | 20 12  | 18  9  | 19  4  |  6 16  |  1  3  |
|  9 20  |  5 16  |  3 18  | 17 19  | 11 15  |  6  2  |  4 10  | 12  1  | 13 14  |  8  7  |
|  1 13  | 12 19  |  9  5  |  4  3  | 20  7  | 14  8  | 11  6  | 15 16  | 10 17  | 18  2  |
|  7  6  | 20 11  | 12  2  |  5 18  | 19  9  |  4 10  | 16  1  | 17  8  | 15  3  | 13 14  |
| 15 19  | 14  8  | 16 13  | 12  7  | 17 10  | 11  3  |  5 20  | 18  9  |  2  1  |  6  4  |
| 18 14  |  2  9  |  4 11  |  1  8  |  6  3  | 16 13  |  7 15  | 20 10  | 19  5  | 12 17  |
|  8 12  |  4  3  | 14  1  | 10 20  | 16 13  |  7  5  | 17 19  |  6  2  | 18  9  | 11 15  |
|  4 16  | 10  6  |  8 20  | 15 13  |  5  1  | 18 17  |  2 14  |  7  3  | 11 12  | 19  9  |
---------------------------------------------------------------------------------------------------------------
