---------------------------------------------------------------------------------------------------------------
|  5  2  | 14 19  |  3 12  | 20  9  |  6 18  |  7  1  | 10 16  | 13 17  |  8  4  | 11 15  |
| 10 11  | 16 18  | 19 20  |  3  4  | 13  9  |  2 17  | 15  6  | 12 14  |  1  7  |  8  5  |
| 19  4  |  2 11  | 18  1  | 16 12  |  3  5  | 14  9  |  7 20  | 10  8  | 15 17  | 13  6  |
| 15 20  |  7  4  |  2 17  |  1 13  | 12 16  |  3 10  |  9  8  | 19 11  |  6  5  | 14 18  |
| 12 16  | 10  5  |  8  7  | 17  2  | 20 15  |  6 13  |  1 14  |  9 18  | 11 19  |  3  4  |
| 14  1  | 15 20  | 13 16  |  7 10  | 17  2  | 12  8  | 11  5  |  6  4  | 18  3  | 19  9  |
|  9 18  | 12  8  | 10  4  | 11  6  | 19 14  |  5 16  | 17 13  |  3 15  | 20  2  |  7  1  |
|  6 17  |  3  1  |  5  9  | 19 14  |  4  8  | 15 11  | 12 18  | 16  7  | 10 13  |  2 20  |
|  8  7  | 13  9  | 11  6  |  5 15  | 10  1  | 18  4  |  3 19  | 20  2  | 16 14  | 17 12  |
| 13  3  |  6 17  | 15 14  | 18  8  | 11  7  | 19 20  |  4  2  |  5  1  |  9 12  | 16 10  |
---------------------------------------------------------------------------------------------------------------
|  1 19  | 20  6  |  7  3  | 15 16  |  2 10  | 17 12  | 14 11  |  4 13  |  5  9  | 18  8  |
|  2 13  | 18  7  | 16 11  | 12 17  |  1  6  |  9  5  |  8  3  | 14 10  |  4 15  | 20 19  |
|  3 15  |  9 10  |  6 19  |  8  7  | 14 17  |  1 18  |  5 12  | 11 20  | 13 16  |  4  2  |
| 17  6  |  5 15  | 14 13  |  4  1  |  7  3  | 16  2  | 20  9  |  8 12  | 19 18  | 10 11  |
| 20  8  | 11  2  |  4 15  |  9  5  | 18 13  | 10  7  | 16  1  | 17 19  | 14  6  | 12  3  |
|  7 14  | 19 16  | 20 18  | 13 11  |  9 12  |  8 15  |  2  4  |  1  5  |  3 10  |  6 17  |
| 11 12  |  4 13  |  1 10  |  6  3  | 15 19  | 20 14  | 18  7  |  2  9  | 17  8  |  5 16  |
| 16  9  | 17 14  | 12  5  | 10 19  |  8 11  |  4  6  | 13 15  | 18  3  |  2 20  |  1  7  |
| 18  5  |  8 12  | 17  2  | 14 20  | 16  4  | 11  3  | 19 10  | 15  6  |  7  1  |  9 13  |
|  4 10  |  1  3  |  9  8  |  2 18  |  5 20  | 13 19  |  6 17  |  7 16  | 12 11  | 15 14  |
---------------------------------------------------------------------------------------------------------------
