---------------------------------------------------------------------------------------------------------------
| 13  6  |  4 19  | 16 18  |  2  5  |  3  8  | 15  1  | 17 10  |  9  7  | 12 20  | 11 14  |
| 12  1  |  6 13  |  4 14  | 18 20  | 17 16  | 11 10  |  2  3  | 15 19  |  7  9  |  5  8  |
| 14 11  |  9 20  | 13  2  |  4 15  | 12  1  | 16  3  |  8 18  | 17  5  | 19  6  |  7 10  |
|  3  9  |  1 17  | 11 19  | 14 12  |  2  4  | 13  8  |  5  7  | 20  6  | 18 10  | 15 16  |
| 15 16  | 14  3  |  1  6  | 13  9  |  5 11  | 17  7  | 19 20  | 18 10  |  8  2  |  4 12  |
|  4  7  | 16 15  | 20 10  |  3 17  | 14 19  |  6  2  | 11 12  |  8  1  |  5 13  | 18  9  |
| 17 19  |  5  7  |  9  3  |  1  8  | 10 20  | 18 12  | 16  4  |  2 11  | 14 15  | 13  6  |
| 18  8  | 11  2  | 15  5  |  6 10  |  7  9  | 19 20  |  1 14  | 12 13  |  4 16  |  3 17  |
|  2 10  |  8 18  |  7 12  | 16 11  | 15  6  |  4  5  |  9 13  |  3 14  |  1 17  | 20 19  |
|  5 20  | 10 12  | 17  8  | 19  7  | 18 13  |  9 14  |  6 15  |  4 16  | 11  3  |  1  2  |
---------------------------------------------------------------------------------------------------------------
|  8 13  | 15 14  | 12  9  |  7  2  | 16 17  |  5  6  |  3  1  | 10  4  | 20 11  | 19 18  |
| 19  3  | 20  8  |  6 13  | 11  4  |  9  7  | 10 15  | 14 17  |  1 18  |  2 12  | 16  5  |
|  1  2  | 19 10  | 18 15  | 12  6  | 20 14  |  7 16  | 13  8  | 11 17  |  3  5  |  9  4  |
| 20  5  | 13  6  | 10  7  |  9 16  |  8  3  |  1  4  | 15  2  | 19 12  | 17 18  | 14 11  |
| 10 14  | 12  1  | 19 20  | 15 13  |  6  2  |  3 11  | 18  9  |  5  8  | 16  4  | 17  7  |
|  6 15  |  2 16  |  8  1  | 17 18  | 13  5  | 20 19  |  4 11  | 14  9  | 10  7  | 12  3  |
|  9  4  |  3  5  |  2 11  |  8 19  |  1 18  | 12 17  | 10 16  |  7 15  | 13 14  |  6 20  |
|  7 12  | 17  4  | 14 16  |  5  3  | 11 15  |  8 18  | 20  6  | 13  2  |  9 19  | 10  1  |
| 11 18  |  7  9  |  5 17  | 20 14  |  4 10  |  2 13  | 12 19  | 16  3  |  6  1  |  8 15  |
| 16 17  | 18 11  |  3  4  | 10  1  | 19 12  | 14  9  |  7  5  |  6 20  | 15  8  |  2 13  |
---------------------------------------------------------------------------------------------------------------
