---------------------------------------------------------------------------------------------------------------
|  4 19  | 15  8  | 17 11  | 18  1  |  7 12  | 16 20  |  6  3  | 10 13  |  5  2  |  9 14  |
| 10 18  | 19  2  | 15  5  | 17  8  | 16 20  | 12  7  | 14 13  |  4  3  | 11  9  |  6  1  |
| 11 16  | 10 12  |  8  9  |  3  5  | 18  6  |  1  4  |  7 20  | 14 19  | 13 15  |  2 17  |
| 20 14  | 11 16  | 19 10  |  2 13  |  9  5  |  8  3  | 12 15  |  7  6  |  1 17  |  4 18  |
| 15  2  | 18  4  | 14 16  |  9 20  | 13  3  |  6  5  |  1 17  |  8 12  | 10  7  | 11 19  |
|  9  3  | 20 17  |  4 13  | 10 16  |  8  1  |  2 14  |  5 11  | 15 18  |  6 19  |  7 12  |
|  5  7  |  3  6  | 20 18  | 11 15  |  4 17  | 10 13  | 19  2  |  1  9  | 14 12  | 16  8  |
| 17  1  |  5 14  |  3 12  |  7  6  | 15 19  |  9 18  | 10  8  |  2 11  |  4 16  | 13 20  |
|  8  6  |  9 13  |  1  7  | 12  4  | 14  2  | 19 11  | 18 16  |  5 17  |  3 20  | 10 15  |
| 12 13  |  7  1  |  6  2  | 14 19  | 11 10  | 17 15  |  9  4  | 20 16  |  8 18  |  5  3  |
---------------------------------------------------------------------------------------------------------------
| 14 10  |  2 20  |  5 15  | 19 11  |  6  4  |  7  8  | 16 12  | 17  1  | 18 13  |  3  9  |
|  3 12  |  8 15  | 11 20  | 13  2  |  5 18  |  4  1  | 17 19  |  6  7  |  9 10  | 14 16  |
|  2 11  | 12  5  | 10 19  |  1  9  | 17 16  | 18  6  |  4  7  |  3  8  | 20 14  | 15 13  |
| 18  8  | 17  3  |  9  4  | 16 12  | 10 13  | 14  2  | 11  5  | 19 20  | 15  6  |  1  7  |
| 13 20  |  1 10  | 16  3  |  6 17  | 12  9  | 11 19  |  2 14  | 18 15  |  7  4  |  8  5  |
| 19  4  | 14  7  | 18 17  | 20 10  |  2  8  |  3  9  | 15  6  | 13  5  | 16  1  | 12 11  |
|  1 17  | 16 18  | 12  6  |  4  7  |  3 15  |  5 10  | 13  9  | 11 14  | 19  8  | 20  2  |
|  7  5  |  6 11  |  2  8  | 15 18  | 19 14  | 13 16  | 20  1  |  9  4  | 12  3  | 17 10  |
| 16 15  |  4  9  | 13 14  |  5  3  |  1  7  | 20 17  |  8 18  | 12 10  |  2 11  | 19  6  |
|  6  9  | 13 19  |  7  1  |  8 14  | 20 11  | 15 12  |  3 10  | 16  2  | 17  5  | 18  4  |
---------------------------------------------------------------------------------------------------------------
