---------------------------------------------------------------------------------------------------------------
| 12 10  |  3  4  | 19  9  |  1  2  | 15  6  | 11 14  | 17 20  | 13  7  | 16  5  |  8 18  |
| 19  6  | 12 11  |  3 20  |  9  7  | 13  1  |  4 10  | 14 15  | 18  8  | 17  2  | 16  5  |
| 11 20  | 10  7  | 14 16  |  3 17  |  5 12  | 15  1  |  6 19  |  4  2  | 18  8  |  9 13  |
|  5  4  | 14 19  |  2 15  | 18 13  |  3 17  | 12  7  | 11  8  | 16 20  |  1  9  |  6 10  |
|  3  8  |  2 16  | 12 10  |  4 14  |  7 11  | 17 18  |  1  5  | 15  9  | 13  6  | 20 19  |
| 17  9  |  5 15  |  7 13  | 20 12  |  2  4  | 19  8  | 18 16  |  1  6  | 14 10  |  3 11  |
|  2 13  | 17 18  | 11  6  | 19 10  |  9  8  | 16 20  |  4  7  | 12  5  | 15  3  |  1 14  |
| 18  1  | 13  8  |  4 17  | 11  6  | 19 16  |  5  9  | 12 10  |  3 14  |  7 20  | 15  2  |
| 15 14  |  6  1  |  5 18  |  8 16  | 20 10  | 13  3  |  9  2  | 19 11  | 12  4  |  7 17  |
| 16  7  | 20  9  |  1  8  | 15  5  | 18 14  |  6  2  | 13  3  | 10 17  | 19 11  | 12  4  |
---------------------------------------------------------------------------------------------------------------
|  7 17  |  1 10  |  6 11  | 12  8  | 16 19  |  9 15  |  3 14  |  5 18  |  2 13  |  4 20  |
| 13 11  | 16  2  | 17  5  |  7 18  |  6 20  |  3 19  |  8  4  | 14 15  |  9 12  | 10  1  |
| 10 18  |  8  6  | 15  3  | 14 19  | 17  7  |  2 11  | 20 13  |  9 12  |  4  1  |  5 16  |
|  1 19  |  7 20  | 10  2  |  6  3  |  8  9  | 18 17  | 16 12  | 11  4  |  5 14  | 13 15  |
|  9  2  | 15  3  | 13 14  | 10 11  | 12 18  | 20  4  |  5 17  |  8  1  |  6 16  | 19  7  |
| 14 16  |  4 17  | 20  7  |  5 15  | 10  2  |  8 12  | 19  1  |  6 13  |  3 18  | 11  9  |
|  6  3  |  9 14  |  8  4  | 17 20  | 11  5  |  1 13  | 15 18  |  7 16  | 10 19  |  2 12  |
|  8  5  | 18 13  |  9 12  |  2  4  |  1 15  |  7 16  | 10  6  | 20 19  | 11 17  | 14  3  |
|  4 12  | 11  5  | 18 19  | 16  1  | 14 13  | 10  6  |  7  9  |  2  3  | 20 15  | 17  8  |
| 20 15  | 19 12  | 16  1  | 13  9  |  4  3  | 14  5  |  2 11  | 17 10  |  8  7  | 18  6  |
---------------------------------------------------------------------------------------------------------------
