---------------------------------------------------------------------------------------------------------------
| 20 14  |  4  6  |  2 15  | 17  3  |  9 19  | 12 13  | 11 10  |  1  8  |  5 16  |  7 18  |
| 10 16  | 15  3  |  4  6  | 19 11  | 17  1  | 18 20  | 12 14  |  2 13  |  8  7  |  5  9  |
|  8  5  | 11  1  | 10 14  | 15 16  |  3  6  |  9 17  | 19  7  |  4 18  |  2 13  | 20 12  |
|  3  2  | 20 10  | 17  8  | 13  7  | 15 18  |  1  6  |  9  5  | 12 19  | 11 14  | 16  4  |
| 17  6  |  7 12  | 16  5  |  2  8  | 14 11  | 15  4  | 20 13  |  9 10  |  3 18  |  1 19  |
| 15 19  |  9  2  |  3 20  |  6 14  |  7 12  | 11 10  | 17 18  | 16  5  |  1  4  | 13  8  |
|  4 11  | 17  8  | 12  7  |  5 18  | 13 10  | 19 14  |  1 16  |  6  3  |  9 20  |  2 15  |
|  9  7  |  5 16  | 13 18  |  1 10  |  2 20  |  3  8  | 15  4  | 14 17  | 12 19  | 11  6  |
| 12  1  | 18 13  | 11 19  |  4  9  |  8 16  |  2  5  |  6  3  | 20  7  | 10 15  | 14 17  |
| 18 13  | 19 14  |  1  9  | 12 20  |  4  5  | 16  7  |  8  2  | 11 15  | 17  6  |  3 10  |
---------------------------------------------------------------------------------------------------------------
|  7 20  |  1  4  |  6 13  | 11 19  | 16  3  |  8 12  | 14 15  |  5  9  | 18 10  | 17  2  |
|  5  3  |  8 20  | 19 17  | 18  1  | 10 13  |  6 11  |  4  9  | 15 16  |  7  2  | 12 14  |
|  2 12  | 13 17  |  5  4  | 10  6  |  1 15  | 20 18  |  7  8  | 19 11  | 14  3  |  9 16  |
| 11  4  | 10 18  |  8  3  | 20  5  |  6  2  |  7 15  | 16 12  | 17 14  | 13  9  | 19  1  |
|  1 17  |  6  5  | 14 11  |  9  4  | 20  8  | 10 16  |  3 19  |  7  2  | 15 12  | 18 13  |
| 19 10  |  2  9  | 20  1  | 14 13  | 18  7  |  4  3  |  5  6  |  8 12  | 16 17  | 15 11  |
|  6  9  | 16 11  | 18 12  |  8 15  | 19  4  | 14  2  | 13 17  |  3  1  | 20  5  | 10  7  |
| 13 18  | 12  7  | 15 16  |  3 17  | 11 14  |  5  9  |  2  1  | 10  6  | 19  8  |  4 20  |
| 14  8  |  3 15  |  7 10  | 16  2  | 12  9  | 17 19  | 18 11  | 13 20  |  4  1  |  6  5  |
| 16 15  | 14 19  |  9  2  |  7 12  |  5 17  | 13  1  | 10 20  | 18  4  |  6 11  |  8  3  |
---------------------------------------------------------------------------------------------------------------
