---------------------------------------------------------------------------------------------------------------
|  6 12  | 11 20  |  2  4  |  3  7  | 18  8  | 10 15  | 19 17  | 16 13  |  5 14  |  1  9  |
|  9 15  |  6 12  | 20 16  | 17  2  |  5 14  |  4 18  | 10 11  |  1  3  | 13  7  |  8 19  |
|  5 16  | 15 17  |  6  7  | 13 10  | 19  9  | 12  8  | 20  2  |  4 14  |  1  3  | 18 11  |
| 17 13  | 19  9  | 15  8  |  6 20  | 16  1  |  2  5  | 18  4  | 10  7  | 11 12  |  3 14  |
| 11  2  |  4  1  |  3 17  |  9 16  |  6 15  | 19 14  |  8  5  | 18 12  | 10 20  | 13  7  |
| 19  1  | 16  5  | 18 13  | 15 14  | 20  7  |  6 17  | 12  3  |  2 11  |  9  8  | 10  4  |
| 20 14  | 13  2  |  5  1  | 19 11  | 10 12  |  7  3  | 15 16  |  8  9  | 18  4  |  6 17  |
| 10  8  |  7 18  | 11 12  |  1  5  |  3  4  | 20  9  | 14 13  | 19 15  | 17  6  | 16  2  |
| 18  7  | 14  3  | 19 10  |  8  4  |  2 17  | 13 11  |  9  1  |  5  6  | 15 16  | 12 20  |
|  3  4  | 10  8  |  9 14  | 12 18  | 11 13  | 16  1  |  7  6  | 17 20  | 19  2  |  5 15  |
---------------------------------------------------------------------------------------------------------------
|  7  3  |  8  6  | 10 15  | 14 19  |  9 16  | 17  4  | 13 12  | 20 18  |  2  1  | 11  5  |
|  2 18  | 12 15  |  1 19  | 11 13  | 17 20  |  3 10  |  5  8  | 14 16  |  7  9  |  4  6  |
|  4 17  | 18  7  | 13  6  |  2  3  |  1 10  |  5 16  | 11 19  |  9  8  | 14 15  | 20 12  |
| 14 11  |  2 10  |  8  3  | 18  1  | 12 19  |  9 20  | 16  7  | 15  4  |  6  5  | 17 13  |
| 16 19  |  9  4  | 12 18  |  5 15  |  8  2  |  1  6  |  3 14  | 11 17  | 20 13  |  7 10  |
| 13  5  | 17 16  |  7  2  | 10 12  | 14 18  | 15 19  |  4 20  |  6  1  |  8 11  |  9  3  |
| 15  9  |  5 19  | 17 20  |  7  8  | 13  6  | 11 12  |  1 10  |  3  2  |  4 18  | 14 16  |
|  8  6  |  3 11  |  4  9  | 20 17  |  7  5  | 14 13  |  2 18  | 12 10  | 16 19  | 15  1  |
|  1 10  | 20 13  | 14 11  | 16  9  |  4  3  | 18  2  |  6 15  |  7  5  | 12 17  | 19  8  |
| 12 20  |  1 14  | 16  5  |  4  6  | 15 11  |  8  7  | 17  9  | 13 19  |  3 10  |  2 18  |
---------------------------------------------------------------------------------------------------------------
