---------------------------------------------------------------------------------------------------------------
|  1 11  | 17  4  | 13 16  |  3  6  | 20 14  |  7  9  | 19  2  | 10 12  |  5 18  | 15  8  |
|  7 19  | 15 10  |  4 17  | 20 11  |  2 12  |  8  1  |  9  5  | 13 14  |  3 16  | 18  6  |
|  5 10  | 18 11  |  2 19  |  4 13  | 17  9  | 15 14  |  3  1  | 16  7  |  6  8  | 20 12  |
| 16  6  |  7  3  | 15 11  | 18 12  | 10 13  | 20  5  | 14  4  |  1  8  |  2 17  | 19  9  |
|  4 17  |  6 13  |  7 10  | 14  5  | 11 15  | 16  2  | 12  8  | 18  9  | 19 20  |  3  1  |
| 12  2  |  1 16  |  6 20  | 17  7  |  4  8  | 10 19  | 15 18  |  5  3  | 14  9  | 13 11  |
| 13  3  | 12  9  |  1 14  | 10  8  |  7  6  |  4 18  | 17 16  | 19 20  | 15 11  |  5  2  |
| 15 14  |  2 20  |  3  8  |  9 19  |  5 18  | 12 17  |  7 10  | 11  6  | 13  1  | 16  4  |
| 20  9  | 19  8  | 18  5  | 15  2  | 16  1  | 11  3  | 13  6  |  4 17  | 10 12  | 14  7  |
|  8 18  |  5 14  | 12  9  | 16  1  |  3 19  |  6 13  | 20 11  |  2 15  |  7  4  | 10 17  |
---------------------------------------------------------------------------------------------------------------
|  9 16  | 10  7  |  5 12  | 19 18  |  1  2  | 14  8  |  6 13  | 17 11  | 20 15  |  4  3  |
| 11 20  |  3 15  | 14 13  |  7  4  |  8  5  |  9 12  | 18 19  |  6  1  | 16  2  | 17 10  |
| 17  5  |  9 18  | 19  3  | 12 14  | 15 16  |  1  7  | 11 20  |  8  2  |  4 10  |  6 13  |
| 18 15  | 20  5  | 17  6  |  1  3  |  9  7  |  2 16  |  4 14  | 12 10  | 11 13  |  8 19  |
|  3 13  | 11  6  | 20  4  |  2  9  | 14 10  | 18 15  |  1 17  |  7 16  |  8 19  | 12  5  |
|  2  1  |  8 17  | 16 15  |  6 20  | 13  4  | 19 10  |  5 12  |  3 18  |  9  7  | 11 14  |
| 10  7  | 16  2  |  9 18  | 11 17  |  6  3  | 13  4  |  8 15  | 14 19  | 12  5  |  1 20  |
| 19 12  | 13  1  | 11  7  |  8 10  | 18 20  |  5  6  |  2  3  | 15  4  | 17 14  |  9 16  |
| 14  8  |  4 19  | 10  2  | 13 15  | 12 17  |  3 11  | 16  9  | 20  5  |  1  6  |  7 18  |
|  6  4  | 14 12  |  8  1  |  5 16  | 19 11  | 17 20  | 10  7  |  9 13  | 18  3  |  2 15  |
---------------------------------------------------------------------------------------------------------------
