---------------------------------------------------------------------------------------------------------------
| 10 11  |  8  5  | 15 14  | 19  4  | 13 17  | 16  9  |  3  1  | 18 12  |  7  6  | 20  2  |
|  8 20  | 15  4  | 19  9  |  2  5  | 16 11  |  1  6  | 12 13  |  7 17  | 14 10  |  3 18  |
| 17 14  |  9  7  |  5 11  | 12  6  | 19 18  |  4 20  | 15  8  |  1  2  | 16  3  | 10 13  |
| 13  6  | 10 12  | 16  8  |  9 11  |  5 14  | 15 19  | 17  7  |  3 20  | 18  2  |  1  4  |
|  9  7  | 11 20  | 17  3  | 15  1  |  6 10  |  5  2  | 19 18  | 16 14  | 13  4  | 12  8  |
| 18 16  | 17  2  |  4 13  |  3 10  | 15  1  | 11  8  |  5  6  | 19  9  | 20 12  |  7 14  |
|  2 15  | 13 19  |  7 10  | 17 20  |  9 12  | 18  3  | 16 14  |  6  4  |  1  8  | 11  5  |
|  5  3  | 18 16  | 20  1  |  7  8  |  4  2  | 12 14  | 11  9  | 13 10  | 19 17  |  6 15  |
|  4 19  | 14  1  | 12  6  | 16 18  |  3  7  | 13 10  |  2 20  |  8 15  | 11  5  | 17  9  |
| 12  1  |  6  3  |  2 18  | 13 14  | 20  8  |  7 17  | 10  4  |  5 11  |  9 15  | 19 16  |
---------------------------------------------------------------------------------------------------------------
| 15 18  |  2  8  |  1 19  |  4 13  |  7 20  | 14 12  |  6 17  | 11  5  |  3 16  |  9 10  |
|  3  9  | 16 18  | 14 17  |  6 19  |  2 13  |  8  1  | 20  5  | 10  7  | 15 11  |  4 12  |
| 20  4  |  3 15  | 10 12  |  8 17  | 18 19  |  9 13  |  7 11  | 14 16  |  2  1  |  5  6  |
| 16  5  |  7  9  |  3  4  | 20  2  |  8  6  | 17 15  | 13 19  | 12  1  | 10 14  | 18 11  |
|  6 13  | 20 17  |  8  2  |  5 16  | 11  3  | 19  7  | 14 10  |  4 18  | 12  9  | 15  1  |
| 11 10  |  4  6  | 13  5  |  1 12  | 14  9  |  2 18  |  8  3  | 15 19  | 17  7  | 16 20  |
|  1 17  |  5 13  |  6 15  | 11  7  | 12  4  | 10 16  | 18  2  |  9  3  |  8 20  | 14 19  |
|  7  8  |  1 14  |  9 20  | 18 15  | 10 16  |  6 11  |  4 12  | 17 13  |  5 19  |  2  3  |
| 14 12  | 19 11  | 18  7  | 10  3  |  1 15  | 20  5  |  9 16  |  2  6  |  4 13  |  8 17  |
| 19  2  | 12 10  | 11 16  | 14  9  | 17  5  |  3  4  |  1 15  | 20  8  |  6 18  | 13  7  |
---------------------------------------------------------------------------------------------------------------
