---------------------------------------------------------------------------------------------------------------
|  9  1  | 12 14  |  7  2  |  3 19  |  5 17  | 18 13  |  8 11  | 20 10  | 16  6  |  4 15  |
| 20  2  | 13 10  | 18  9  | 16  1  | 12 19  | 15 14  |  5  6  | 17  3  |  8  4  | 11  7  |
| 18  8  | 20  9  | 17 10  | 15  5  |  3  1  | 11 12  |  2 14  |  7  4  | 19 13  | 16  6  |
|  3 11  |  7  1  | 20  4  |  9 18  | 10  8  | 17 19  | 15 13  |  6 16  | 14  5  | 12  2  |
| 16 15  |  5 17  |  1  6  |  7 10  | 13  2  |  3 20  | 19  4  | 14  8  | 11 12  | 18  9  |
|  4  7  |  3 15  | 14 12  | 17  8  |  9 18  | 10  6  | 20 16  | 11  5  |  2  1  | 19 13  |
|  5  6  | 19  4  |  3 13  | 20 14  |  7 11  |  8 16  | 12 10  |  2 15  | 18  9  |  1 17  |
| 17 19  |  2  8  | 15 16  | 13 11  |  6 14  |  5  4  | 18  9  | 12  1  | 10  7  |  3 20  |
| 14 12  |  6 11  |  8 19  |  4  2  | 16 15  |  1  9  | 17  7  | 18 13  | 20  3  | 10  5  |
| 10 13  | 18 16  | 11  5  |  6 12  | 20  4  |  2  7  |  1  3  |  9 19  | 17 15  | 14  8  |
---------------------------------------------------------------------------------------------------------------
|  8  4  | 15  2  | 12 20  | 10 13  | 17  3  | 14 11  | 16 19  |  5  6  |  7 18  |  9  1  |
|  2 16  |  1 19  |  5 15  | 18  7  |  4 13  | 20  3  | 10 17  |  8  9  | 12 11  |  6 14  |
| 12  9  |  8 13  |  4  1  |  2 20  | 11 10  |  7 15  |  3  5  | 16 14  |  6 19  | 17 18  |
|  6  3  | 16 12  |  9  8  | 11 15  |  1  7  | 13 18  | 14 20  | 10 17  |  4  2  |  5 19  |
| 15 10  |  9 20  | 16 18  | 12 17  |  2  5  | 19  1  |  6  8  |  3 11  | 13 14  |  7  4  |
|  7 17  | 10  5  | 13  3  | 14  9  | 15 16  |  6  2  |  4 18  | 19 12  |  1  8  | 20 11  |
| 11 18  |  4  7  | 19 14  |  1  6  |  8  9  | 16 10  | 13 12  | 15 20  |  5 17  |  2  3  |
| 19  5  | 11  6  |  2  7  |  8 16  | 14 20  |  4 17  |  9  1  | 13 18  |  3 10  | 15 12  |
|  1 20  | 14 18  |  6 17  |  5  3  | 19 12  |  9  8  | 11  2  |  4  7  | 15 16  | 13 10  |
| 13 14  | 17  3  | 10 11  | 19  4  | 18  6  | 12  5  |  7 15  |  1  2  |  9 20  |  8 16  |
---------------------------------------------------------------------------------------------------------------
