---------------------------------------------------------------------------------------------------------------
|  8  9  | 13 10  |  5 17  | 20  3  |  7 15  |  6  1  |  2 14  | 16 19  | 18 12  | 11  4  |
|  7 17  | 15  8  | 16  4  | 11  9  |  3 18  | 10 13  |  1 19  |  2 14  |  5  6  | 12 20  |
|  6  1  | 11 18  |  8 13  |  4 14  |  5 12  | 15  2  | 16  9  | 17 10  |  7 20  |  3 19  |
| 10  3  |  7 16  |  2 18  |  8  5  | 17  1  | 12  9  |  4 15  | 13 20  | 19 11  |  6 14  |
| 11 18  |  6 17  | 10 15  |  2 16  |  4 14  |  3 19  |  5 20  |  7 12  | 13  1  |  8  9  |
| 16  5  |  2  1  |  6  3  | 17 13  | 11 19  | 14 20  | 12  7  |  9 15  |  8  4  | 18 10  |
| 12 13  |  9 19  |  7  1  |  6 10  |  2 20  | 16  5  | 18 11  |  4  8  | 14  3  | 17 15  |
| 19  4  |  5 12  | 20 14  | 15  1  | 16  9  | 17  8  |  3  6  | 18 11  |  2 10  |  7 13  |
| 20 14  |  4  3  | 12  9  | 18 19  | 13 10  | 11  7  | 17  8  |  5  6  | 16 15  |  2  1  |
|  2 15  | 14 20  | 11 19  | 12  7  |  8  6  | 18  4  | 10 13  |  1  3  | 17  9  | 16  5  |
---------------------------------------------------------------------------------------------------------------
| 15 12  | 20  6  |  9  7  | 13 11  | 19  2  |  4 14  |  8  5  |  3 16  |  1 17  | 10 18  |
| 14 11  | 10 15  | 18  2  |  5  4  |  1 13  | 20  3  |  9 16  |  8 17  |  6  7  | 19 12  |
| 13  8  | 12  4  | 19  6  |  7  2  |  9 16  |  5 18  | 15 17  | 11  1  | 10 14  | 20  3  |
| 18  6  | 19 14  | 13  5  |  3 15  | 10  4  |  9 17  |  7 12  | 20  2  | 11  8  |  1 16  |
|  3  7  | 18  9  | 17  8  | 10 20  | 15  5  |  2  6  | 14  1  | 19 13  | 12 16  |  4 11  |
|  5 10  |  3 13  | 14 11  |  1 18  | 12 17  | 19 16  | 20  4  |  6  7  |  9  2  | 15  8  |
|  9  2  | 16  7  |  3 12  | 19  6  | 18  8  |  1 15  | 11 10  | 14  4  | 20  5  | 13 17  |
| 17 20  |  1  5  |  4 16  |  9 12  |  6  7  |  8 11  | 19  3  | 10 18  | 15 13  | 14  2  |
|  1 19  |  8 11  | 15 20  | 16 17  | 14  3  |  7 10  | 13  2  | 12  5  |  4 18  |  9  6  |
|  4 16  | 17  2  |  1 10  | 14  8  | 20 11  | 13 12  |  6 18  | 15  9  |  3 19  |  5  7  |
---------------------------------------------------------------------------------------------------------------
