---------------------------------------------------------------------------------------------------------------
|  7  8  |  9 11  | 19  2  | 15 20  |  6  4  | 17 12  | 10 16  | 18  1  |  3  5  | 13 14  |
| 16 15  |  8 13  |  5 10  |  4  6  |  9 11  |  7  3  | 12 14  | 17 20  |  1 19  |  2 18  |
|  4 11  |  5  6  | 13  8  |  9 18  |  7 17  | 14  1  |  3 20  | 16 12  |  2 10  | 19 15  |
|  5  2  | 10 12  |  3 14  |  1 13  | 16 15  |  4  6  |  7 17  | 19  8  | 11 18  | 20  9  |
| 18 17  | 20  4  | 12 15  | 14 19  |  3 13  |  9 10  |  1  5  |  7  2  |  8  6  | 16 11  |
| 19  3  |  1  2  | 11  9  |  8 12  |  5 10  | 13 15  |  4 18  | 14  6  | 20 16  | 17  7  |
|  1  9  | 18  3  | 17  6  |  2  5  | 12 19  | 20 16  | 13 15  | 10 11  |  7 14  |  8  4  |
| 20 10  | 19 17  | 18  4  | 16  7  | 14  1  |  5 11  |  2  8  |  3 13  | 15  9  |  6 12  |
|  6 12  |  7 14  |  1 16  | 10 17  |  8 20  | 18  2  | 11 19  | 15  9  | 13  4  |  3  5  |
| 14 13  | 15 16  | 20  7  |  3 11  | 18  2  | 19  8  |  9  6  |  4  5  | 17 12  | 10  1  |
---------------------------------------------------------------------------------------------------------------
| 12  5  | 16 15  | 10  3  | 13  1  | 20 14  |  2 19  | 18 11  |  9  4  |  6 17  |  7  8  |
| 11 16  | 17  8  |  7 12  | 19 15  | 13  5  |  6 20  | 14  9  |  1  3  |  4  2  | 18 10  |
| 10  1  |  2 19  |  8 11  |  7  3  | 15 18  | 12  5  | 17  4  | 20 14  | 16 13  |  9  6  |
| 13 19  |  3  5  | 15 20  | 18 10  |  2  9  | 16  4  |  6  1  | 11  7  | 14  8  | 12 17  |
|  8 14  | 13  9  | 16  5  | 20  4  | 11  3  | 10  7  | 19 12  |  6 17  | 18  1  | 15  2  |
|  3  4  | 11 20  | 14 19  | 12 16  | 17  6  | 15  9  |  5  2  |  8 18  | 10  7  |  1 13  |
| 17 20  | 14 10  |  2 13  |  6  9  |  4 12  |  1 18  |  8  7  |  5 15  | 19  3  | 11 16  |
| 15  7  |  6  1  |  9 18  | 17  2  | 19 16  |  8 14  | 20 13  | 12 10  |  5 11  |  4  3  |
|  9 18  |  4  7  |  6 17  | 11 14  |  1  8  |  3 13  | 15 10  |  2 16  | 12 20  |  5 19  |
|  2  6  | 12 18  |  4  1  |  5  8  | 10  7  | 11 17  | 16  3  | 13 19  |  9 15  | 14 20  |
---------------------------------------------------------------------------------------------------------------
