---------------------------------------------------------------------------------------------------------------
| 10  7  |  3 12  | 16 20  |  5 17  | 18 11  |  9  4  | 19 14  |  8 13  |  1 15  |  2  6  |
|  4 17  |  7 10  | 12  1  |  6 13  | 16 19  | 11  8  |  3  5  | 14 18  |  9  2  | 15 20  |
|  5 15  |  4 13  |  7 17  | 16 19  | 10  9  |  2 12  | 11  8  |  6  3  | 14 20  |  1 18  |
|  2 18  | 16  6  | 13  4  |  1 11  | 17 20  | 10 19  | 12  9  |  5 15  |  8  3  | 14  7  |
| 11  8  |  5  9  | 10 18  |  4  3  | 13  1  | 17 14  | 15 20  |  2 19  |  7  6  | 12 16  |
| 16 14  | 18 15  | 11  8  |  7 10  |  4  5  |  6 13  | 17  2  |  1 20  | 19 12  |  3  9  |
|  6 13  |  2  8  | 15  9  | 14 12  |  7  3  |  1 20  |  4 18  | 11 17  |  5 16  | 19 10  |
|  9 19  | 11 20  | 14  6  |  8 15  | 12  2  | 16  3  | 10  1  |  4  7  | 17 18  |  5 13  |
| 20 12  | 17  1  | 19  3  | 18  2  |  8 14  |  5 15  |  6  7  |  9 16  | 13 10  | 11  4  |
|  3  1  | 14 19  |  2  5  | 20  9  |  6 15  | 18  7  | 16 13  | 10 12  |  4 11  | 17  8  |
---------------------------------------------------------------------------------------------------------------
| 15  6  | 13  3  |  1 11  | 17  8  |  2  4  | 19 16  | 14 12  | 18  9  | 20  7  | 10  5  |
| 19  2  | 20  4  |  3 16  | 11  1  | 14 18  |  8 17  |  5 10  |  7  6  | 12  9  | 13 15  |
| 13  4  | 10 18  |  8 14  | 15 20  |  1 12  |  3  5  |  9 17  | 16 11  |  6 19  |  7  2  |
|  8 16  | 19  2  | 17 13  | 12  7  | 20 10  | 14  1  | 18  6  | 15  5  |  3  4  |  9 11  |
| 17 10  |  6 11  |  5 15  |  3  4  | 19  8  | 12  9  |  7 16  | 20 14  |  2 13  | 18  1  |
| 18  5  |  1 16  |  4  2  | 13  6  |  9 17  |  7 11  |  8 19  | 12 10  | 15 14  | 20  3  |
| 12  3  |  8  5  |  9  7  |  2 14  | 11  6  |  4 10  | 20 15  | 13  1  | 18 17  | 16 19  |
| 14 20  |  9 17  | 18 10  | 19 16  | 15  7  | 13  2  |  1  4  |  3  8  | 11  5  |  6 12  |
|  7  9  | 15 14  |  6 12  | 10  5  |  3 13  | 20 18  |  2 11  | 19  4  | 16  1  |  8 17  |
|  1 11  | 12  7  | 20 19  |  9 18  |  5 16  | 15  6  | 13  3  | 17  2  | 10  8  |  4 14  |
---------------------------------------------------------------------------------------------------------------
