---------------------------------------------------------------------------------------------------------------
| 13 19  | 18 12  |  1  4  | 11  9  | 14  7  | 10 20  | 15  8  | 16  5  |  3 17  |  2  6  |
|  8  4  |  5 13  | 10 20  | 14 16  |  2  9  |  1 19  |  7 11  | 15  6  | 18 12  | 17  3  |
|  2 12  |  8 10  |  5  9  |  7 18  |  3 13  | 14 17  | 20  1  | 19 11  | 15  6  | 16  4  |
| 15 17  |  1  2  | 13 18  |  5  8  | 10 12  |  3 11  | 14  6  |  7 20  | 16  4  |  9 19  |
|  7 11  | 15 19  | 12 17  |  1  4  | 16 20  |  9  6  |  3 18  |  8 14  |  5  2  | 10 13  |
| 16  3  |  7 11  |  8 15  | 13 12  |  1  6  |  5 18  | 10 17  |  2  4  | 19  9  | 20 14  |
| 18  6  | 17 16  |  7 19  |  3 10  |  8  5  | 12  4  | 13  2  |  1  9  | 14 20  | 15 11  |
| 10  1  | 20 14  |  2 16  | 15  6  | 18  4  |  7 13  |  9 19  |  3 17  |  8 11  |  5 12  |
| 14  9  |  3  4  | 11  6  | 20  2  | 19 17  | 16 15  | 12  5  | 10 18  |  7 13  |  8  1  |
| 20  5  |  9  6  |  3 14  | 19 17  | 15 11  |  2  8  |  4 16  | 13 12  |  1 10  | 18  7  |
---------------------------------------------------------------------------------------------------------------
|  6  8  | 13 20  | 18  2  | 10 14  | 17  1  | 19  7  | 16 12  |  5 15  | 11  3  |  4  9  |
| 12 15  | 14  9  | 17  7  |  2 20  |  6 18  |  4 16  | 19 10  | 11  1  | 13  5  |  3  8  |
|  5  7  | 10 18  |  9  1  | 17 11  | 20  3  | 15 12  |  2 13  |  6 19  |  4  8  | 14 16  |
|  1  2  |  6 17  | 16 12  |  4 19  | 13 14  | 11  5  | 18  3  |  9  8  | 10 15  |  7 20  |
| 19 18  | 12  5  |  4 11  |  6  1  |  9 10  |  8  2  | 17  7  | 14  3  | 20 16  | 13 15  |
|  3 14  | 11 15  |  6 13  |  9  5  |  4  2  | 18  1  |  8 20  | 17 16  | 12  7  | 19 10  |
| 11 13  | 19  8  | 14  5  | 12  3  |  7 16  | 20 10  |  1 15  |  4  2  |  9 18  |  6 17  |
| 17 10  |  2  1  | 19  3  | 16 15  | 12  8  | 13  9  |  5  4  | 20  7  |  6 14  | 11 18  |
|  4 20  | 16  3  | 15 10  |  8  7  |  5 19  |  6 14  | 11  9  | 18 13  | 17  1  | 12  2  |
|  9 16  |  4  7  | 20  8  | 18 13  | 11 15  | 17  3  |  6 14  | 12 10  |  2 19  |  1  5  |
---------------------------------------------------------------------------------------------------------------
