---------------------------------------------------------------------------------------------------------------
| 19 20  |  5 14  | 15 16  | 12  9  |  6  7  |  4 13  |  3 10  |  8 11  | 18  1  |  2 17  |
| 12  2  |  9  3  | 10 19  | 11 20  | 13  1  | 15  6  | 18  4  | 14  7  |  8 17  |  5 16  |
| 11 16  | 15  7  |  3  9  | 18  6  | 17 20  | 10  2  | 19 12  |  4  5  | 14 13  |  1  8  |
| 15  9  | 18 12  |  5  1  |  3 10  |  4  2  | 20 16  | 13  8  | 17 19  |  7 11  |  6 14  |
|  6 10  | 11 19  |  2 18  | 16 14  |  3 15  |  1  8  | 20 17  | 13 12  |  4  5  |  7  9  |
| 17  3  | 20  2  |  4  8  | 15  1  |  9 12  |  7 18  |  5 14  | 10 16  | 19  6  | 13 11  |
|  4  8  |  6 10  | 20  7  | 17 13  | 14 19  |  5 12  | 16 11  | 18  1  |  9  2  | 15  3  |
|  1 18  |  8 17  |  6 13  |  4  5  | 10 16  | 14 11  |  7  9  | 20  2  | 15  3  | 19 12  |
| 13  7  |  1  4  | 12 14  |  8  2  |  5 11  | 17 19  |  6 15  |  3  9  | 10 16  | 20 18  |
| 14  5  | 13 16  | 11 17  |  7 19  | 18  8  |  3  9  |  1  2  | 15  6  | 20 12  | 10  4  |
---------------------------------------------------------------------------------------------------------------
| 20  6  | 17  5  | 16 11  |  9 15  |  8  3  |  2 10  | 14  7  |  1 18  | 13  4  | 12 19  |
| 16  4  |  2 15  | 14  5  | 10 17  |  1 13  |  8  7  | 11  3  | 19 20  | 12 18  |  9  6  |
|  2 13  |  7 11  | 19 15  | 14  4  | 16  9  | 12  1  |  8 18  |  5  3  |  6 10  | 17 20  |
|  3 17  |  4  1  | 18 10  | 19 16  |  2 14  |  6 15  |  9 13  | 12  8  |  5 20  | 11  7  |
| 18 12  | 19  6  | 17 20  |  1 11  | 15  5  | 13  3  |  4 16  |  7 14  |  2  9  |  8 10  |
|  7  1  | 12 20  |  9  4  |  6  8  | 11 10  | 19 14  |  2  5  | 16 17  |  3 15  | 18 13  |
|  8 19  | 16  9  |  1  3  | 20 18  | 12  4  | 11  5  | 10  6  |  2 13  | 17  7  | 14 15  |
| 10 14  |  3 18  |  7  2  | 13 12  | 20  6  |  9  4  | 17 19  | 11 15  |  1  8  | 16  5  |
|  5 15  | 14 13  |  8  6  |  2  3  |  7 18  | 16 17  | 12 20  |  9 10  | 11 19  |  4  1  |
|  9 11  | 10  8  | 13 12  |  5  7  | 19 17  | 18 20  | 15  1  |  6  4  | 16 14  |  3  2  |
---------------------------------------------------------------------------------------------------------------
