---------------------------------------------------------------------------------------------------------------
|  8  6  |  2 18  | 14  1  | 17 11  | 20 12  | 13  4  | 16  7  |  9  3  |  5 15  | 19 10  |
| 14 13  | 15  6  |  9 20  |  2 10  | 11 19  | 12 18  |  8  3  |  7 16  |  1  4  |  5 17  |
|  7  5  | 14 10  | 11  3  | 18 12  |  2  9  | 15  6  | 13  4  | 19  1  | 16 17  | 20  8  |
| 20  4  |  8 11  | 13 12  | 14 19  | 17  5  |  9  2  | 15  6  | 18 10  |  3  7  |  1 16  |
|  9 10  | 13 17  |  2 16  |  1  7  | 15  4  |  3 19  | 12 14  | 20  5  | 18  8  |  6 11  |
| 18  1  | 20 19  | 10  6  | 15 16  |  3  7  | 11  5  |  2  9  |  8 17  | 14 13  | 12  4  |
| 15 11  | 16  4  | 18  8  |  6  5  | 14 10  |  7  1  | 19 17  |  2 12  |  9 20  |  3 13  |
| 17 19  |  1  9  | 15  7  | 20  3  |  6 18  |  8 16  |  5 11  |  4 13  | 12 10  | 14  2  |
| 12  2  |  7  3  |  4  5  |  9  8  | 16 13  | 17 20  |  1 10  | 14 11  | 19  6  | 18 15  |
| 16  3  | 12  5  | 17 19  | 13  4  |  8  1  | 14 10  | 20 18  | 15  6  | 11  2  |  9  7  |
---------------------------------------------------------------------------------------------------------------
| 10 14  | 18 13  |  7  4  | 12  6  |  1  3  | 19 11  |  9  5  | 17 15  |  2 16  |  8 20  |
| 11 17  |  4 15  |  6 18  |  5  2  |  9 14  |  1  7  | 10 19  | 16  8  | 20 12  | 13  3  |
|  6 12  | 10 20  | 19 13  | 11 14  | 18  2  |  4  8  | 17 15  |  5  9  |  7  3  | 16  1  |
|  5  8  | 11  1  | 20 14  |  7 13  | 10  6  |  2  3  | 18 16  | 12  4  | 15  9  | 17 19  |
| 13 15  | 17 14  |  1 10  |  8 18  |  7 20  | 16  9  |  3  2  | 11 19  |  6  5  |  4 12  |
|  1 16  |  9 12  |  3 17  | 19 15  | 13  8  | 18 14  |  7 20  |  6  2  |  4 11  | 10  5  |
|  3 18  |  6 16  | 12 15  |  4  1  |  5 11  | 20 13  | 14  8  | 10  7  | 17 19  |  2  9  |
| 19 20  |  3  8  | 16  2  | 10  9  |  4 15  |  5 17  | 11 12  |  1 18  | 13 14  |  7  6  |
|  2  9  |  5  7  |  8 11  | 16 20  | 19 17  |  6 12  |  4 13  |  3 14  | 10  1  | 15 18  |
|  4  7  | 19  2  |  5  9  |  3 17  | 12 16  | 10 15  |  6  1  | 13 20  |  8 18  | 11 14  |
---------------------------------------------------------------------------------------------------------------
