---------------------------------------------------------------------------------------------------------------
| 13 10  | 14 17  |  7  9  |  5 19  | 16  3  |  4 15  | 18  8  |  6  1  | 20 11  |  2 12  |
|  8  1  | 16 11  | 20  6  |  9  7  | 13 18  |  3 19  |  5  4  | 12 10  | 17  2  | 14 15  |
| 12  3  |  2  8  | 16 11  | 14  4  | 19  7  | 17  9  | 10 13  |  5 18  |  6 15  |  1 20  |
| 18  7  | 20 19  |  2 17  |  1 15  | 12  6  | 14 16  |  9  3  | 13  8  | 10  5  | 11  4  |
| 14  6  |  7 18  |  8  1  | 17 16  |  5 15  |  2 12  | 19 11  |  3 20  | 13  4  | 10  9  |
|  2  4  |  6 13  | 14 10  | 11  8  |  9 20  |  7 18  | 15 12  | 16 17  |  3  1  |  5 19  |
|  9 15  |  4 12  | 13 19  | 18  6  |  8  2  |  5 10  |  1 20  | 11  7  | 16 14  |  3 17  |
|  5 11  | 10  1  | 12  4  | 13  3  | 17 14  |  8 20  | 16  7  | 15  2  |  9 19  |  6 18  |
| 17 16  |  3  9  | 15  5  | 12 20  | 10  4  |  1 11  |  2  6  | 19 14  |  8 18  | 13  7  |
| 19 20  |  5 15  | 18  3  |  2 10  |  1 11  |  6 13  | 14 17  |  4  9  | 12  7  | 16  8  |
---------------------------------------------------------------------------------------------------------------
|  3 17  |  8  7  |  6 12  | 19  1  |  4 10  | 20 14  | 11 18  |  9  5  |  2 13  | 15 16  |
| 15 18  | 19  4  | 10  8  |  7 14  |  2  1  | 13  3  | 20  5  | 17 16  | 11  9  | 12  6  |
| 11 13  | 15  5  |  4 20  | 16 12  | 14 17  | 19  2  |  3 10  | 18  6  |  7  8  |  9  1  |
|  4 14  | 13 16  | 17 15  |  6  9  |  3 12  | 11  8  |  7  1  |  2 19  | 18 10  | 20  5  |
| 20  8  | 11  6  |  1 18  | 10 13  |  7 19  |  9 17  | 12  2  | 14 15  |  5 16  |  4  3  |
|  7 19  | 17  3  | 11 13  |  8  2  | 20  5  | 16  1  |  4  9  | 10 12  | 15  6  | 18 14  |
| 10 12  |  1 20  | 19 16  |  4 11  |  6  9  | 18  5  | 13 15  |  7  3  | 14 17  |  8  2  |
|  1  9  | 12 14  |  5  2  |  3 18  | 11 13  | 15  7  |  6 16  |  8  4  | 19 20  | 17 10  |
| 16  2  | 18 10  |  9 14  | 20  5  | 15  8  | 12  6  | 17 19  |  1 11  |  4  3  |  7 13  |
|  6  5  |  9  2  |  3  7  | 15 17  | 18 16  | 10  4  |  8 14  | 20 13  |  1 12  | 19 11  |
---------------------------------------------------------------------------------------------------------------
