---------------------------------------------------------------------------------------------------------------
|  2  9  | 13  4  |  5 15  |  7 16  |  8 18  | 20 14  | 12 19  | 10  3  |  1 11  | 17  6  |
|  8 13  |  5 11  |  4 18  |  1  3  | 16 15  | 10 12  |  2  9  | 19 20  | 17  6  | 14  7  |
| 11 15  |  9 10  | 13 14  |  4 20  |  7  1  | 16 19  | 17  8  |  6 18  |  5 12  |  2  3  |
| 18  6  |  2  3  |  9 11  | 13 17  |  4  5  | 15  7  | 14 10  |  8 12  | 19 20  |  1 16  |
|  4  7  | 20 15  | 16 10  |  9  2  | 13  3  |  8  1  |  5  6  | 17 11  | 18 14  | 19 12  |
| 10  1  |  6 19  | 12  3  | 18 15  |  9 17  |  5  2  | 11 13  |  7 14  |  8 16  | 20  4  |
| 20 14  | 16 18  |  1  2  |  5 11  | 19 12  | 17  6  |  7  3  | 13 15  | 10  4  |  8  9  |
| 16  3  | 17 14  |  6 19  | 12  8  | 11  2  | 13  9  | 18 20  |  1  4  |  7 15  | 10  5  |
|  5 19  |  7 12  |  8 17  | 10 14  |  6 20  | 11 18  |  4  1  |  9 16  |  3  2  | 15 13  |
| 12 17  |  8  1  |  7 20  | 19  6  | 10 14  |  3  4  | 16 15  |  2  5  | 13  9  | 18 11  |
---------------------------------------------------------------------------------------------------------------
|  7  5  | 12  6  |  3  4  | 16 18  | 20 10  |  1 11  |  9 17  | 14  8  | 15 19  | 13  2  |
|  9  4  |  3 17  | 11  6  |  2 19  | 15  7  | 12  8  |  1 14  | 20 10  | 16 13  |  5 18  |
|  1 12  | 18  2  | 10  7  | 15  9  |  5 16  | 19 17  |  8 11  |  4 13  | 20  3  |  6 14  |
| 17  2  | 14  9  | 18 16  | 11 10  |  1 19  |  4  5  | 13  7  | 15  6  | 12  8  |  3 20  |
| 14 10  |  1  7  | 17 13  |  6  5  |  3  8  |  2 20  | 15  4  | 12  9  | 11 18  | 16 19  |
|  6 11  | 15  5  |  2  1  | 20  7  | 12  4  | 18 13  | 19 16  |  3 17  | 14 10  |  9  8  |
|  3 20  | 11 16  | 14  8  | 17  4  |  2 13  |  7 15  |  6 18  |  5 19  |  9  1  | 12 10  |
| 13 18  |  4 20  | 19  5  |  8  1  | 17  9  | 14 10  |  3 12  | 16  2  |  6  7  | 11 15  |
| 19 16  | 10  8  | 15 12  | 14 13  | 18  6  |  9  3  | 20  2  | 11  1  |  4  5  |  7 17  |
| 15  8  | 19 13  | 20  9  |  3 12  | 14 11  |  6 16  | 10  5  | 18  7  |  2 17  |  4  1  |
---------------------------------------------------------------------------------------------------------------
