---------------------------------------------------------------------------------------------------------------
|  3 16  | 20 14  | 18 10  | 11 19  | 12  2  | 13  4  |  1 17  |  8  9  |  7  5  |  6 15  |
|  4  1  |  7  3  | 12 11  | 18  6  |  8 14  |  2  5  |  9 16  | 10 20  | 19 15  | 17 13  |
| 17 15  |  2  9  |  3  5  | 20  4  | 19  7  |  8 12  | 14 18  |  1 13  | 11  6  | 16 10  |
|  2  9  |  4 13  |  6 20  | 16  7  | 10  5  | 19 17  |  8 11  | 14 15  | 18 12  |  1  3  |
|  6  8  | 15 17  | 14  2  | 12 10  | 20 18  | 16  1  | 19  4  |  5  3  |  9 13  | 11  7  |
| 12 13  |  6 19  |  9 17  |  5 15  |  1  4  | 18 11  |  3  2  | 16  7  |  8 10  | 20 14  |
| 19  5  |  1  8  | 15 13  | 14  2  | 17  3  |  7 10  | 20  6  | 18 11  | 16  4  |  9 12  |
| 10  7  | 18 16  |  8  1  | 17  9  | 15 11  | 20  3  |  5 13  |  6 12  | 14  2  | 19  4  |
| 18 11  |  5 10  | 16  7  |  1  3  |  6 13  | 14  9  | 12 15  | 19  4  | 20 17  |  2  8  |
| 14 20  | 11 12  | 19  4  |  8 13  | 16  9  |  6 15  |  7 10  |  2 17  |  3  1  |  5 18  |
---------------------------------------------------------------------------------------------------------------
| 13 10  |  9  2  | 20  3  |  6 17  |  5  8  | 11 18  | 16 14  | 12 19  | 15  7  |  4  1  |
|  7 19  |  8 15  |  5 14  |  4 11  | 13  1  | 10  6  | 17 12  |  3 16  |  2 20  | 18  9  |
|  5  3  | 12 18  | 10  9  |  2  8  |  4  6  | 17 16  | 15 19  |  7 14  |  1 11  | 13 20  |
| 11 14  | 19 20  |  1 12  |  9 16  |  7 10  | 15  2  |  6  8  |  4  5  | 13 18  |  3 17  |
|  1 18  | 14  5  | 13 19  |  3 20  |  9 17  | 12  8  |  2  7  | 11 10  |  4 16  | 15  6  |
|  8 12  |  3  6  | 17 15  | 13  5  | 14 16  |  4 19  | 11  1  | 20 18  | 10  9  |  7  2  |
| 20  4  | 10 11  |  2  8  | 19 12  | 18 15  |  1  7  | 13  5  |  9  6  | 17  3  | 14 16  |
|  9 17  | 16  4  |  7  6  | 15 14  |  2 19  |  5 20  | 18  3  | 13  1  | 12  8  | 10 11  |
| 16  6  | 17  7  | 11 18  | 10  1  |  3 12  |  9 13  |  4 20  | 15  2  |  5 14  |  8 19  |
| 15  2  | 13  1  |  4 16  |  7 18  | 11 20  |  3 14  | 10  9  | 17  8  |  6 19  | 12  5  |
---------------------------------------------------------------------------------------------------------------
