---------------------------------------------------------------------------------------------------------------
| 19  8  | 14 13  | 16 20  |  4 15  | 11  9  | 18  5  |  7 10  | 12  3  | 17  2  |  6  1  |
|  2  4  |  8 19  |  6 15  | 20 18  |  3 13  |  9  1  | 14 16  |  5 17  |  7 10  | 12 11  |
| 18  9  | 17  1  | 13 12  |  3 19  |  2  5  | 10  7  |  4  6  | 14 11  |  8 16  | 15 20  |
|  1  7  | 15  4  | 14 11  |  6  2  | 19  8  | 16 13  |  3  9  | 10 20  |  5 12  | 17 18  |
| 20  5  |  9  6  |  1  3  | 13 11  |  4  7  |  2 14  | 17 12  | 16 19  | 15 18  | 10  8  |
| 14 11  | 20  7  |  8  9  |  5 12  | 15 10  |  3 17  |  2 18  |  4  6  | 13  1  | 16 19  |
| 16 15  | 11  5  | 17 10  |  8 14  | 12 18  |  4  6  | 19  1  |  7  2  |  3 20  | 13  9  |
| 10  3  | 18 16  |  5 19  |  1  9  | 14 17  | 12 15  | 11 20  | 13  8  |  4  6  |  7  2  |
| 17  6  | 10 12  |  4  2  | 16  7  | 20  1  | 19 11  | 13  8  | 18 15  | 14  9  |  3  5  |
| 12 13  |  2  3  |  7 18  | 17 10  |  6 16  | 20  8  |  5 15  |  1  9  | 11 19  |  4 14  |
---------------------------------------------------------------------------------------------------------------
|  6 14  |  1 11  | 20  4  | 15 16  |  5  2  |  7  3  | 10 19  | 17 12  |  9  8  | 18 13  |
|  7 19  | 16 18  | 10  5  |  2  4  |  8 20  |  6 12  | 15 11  |  9 13  |  1 17  | 14  3  |
|  8 18  | 12  9  | 19 13  |  7 20  | 17  6  |  5  2  |  1 14  | 15  4  | 10  3  | 11 16  |
| 11 10  |  4 15  | 18 17  | 19  5  |  7 12  |  8 16  |  9 13  |  3  1  |  2 14  | 20  6  |
| 13  1  |  7 14  | 12  6  | 10  8  | 16 15  | 11 19  | 20  3  |  2  5  | 18  4  |  9 17  |
| 15 12  | 19  8  | 11  7  | 14 13  | 10  3  | 17  9  | 16  2  |  6 18  | 20  5  |  1  4  |
|  4  2  |  6 10  | 15 14  | 18  3  |  9 11  |  1 20  |  8 17  | 19 16  | 12 13  |  5  7  |
|  5 16  |  3  2  |  9  8  | 11 17  |  1  4  | 13 18  | 12  7  | 20 14  |  6 15  | 19 10  |
|  3 17  | 13 20  |  2 16  |  9  1  | 18 14  | 15  4  |  6  5  | 11 10  | 19  7  |  8 12  |
|  9 20  |  5 17  |  3  1  | 12  6  | 13 19  | 14 10  | 18  4  |  8  7  | 16 11  |  2 15  |
---------------------------------------------------------------------------------------------------------------
