---------------------------------------------------------------------------------------------------------------
|  6 20  | 13  9  | 18  2  | 11 17  | 12 19  | 16  3  |  1  4  | 15 10  | 14  8  |  5  7  |
| 10 11  | 19 12  |  3 17  | 18  5  |  7 20  |  2 13  | 16 14  |  4  8  |  9 15  |  6  1  |
|  3  2  |  6 15  |  9 13  |  1 16  | 18 17  | 10 12  | 20  8  | 19 14  |  7  5  |  4 11  |
| 14 19  | 20  8  |  6 10  |  4 13  |  5 11  | 17  7  | 12  2  |  3 16  | 18  1  | 15  9  |
| 12  7  | 18  3  | 19 20  |  6  9  | 13  8  | 15 14  | 10 11  |  1  5  | 16  4  |  2 17  |
|  1 13  |  2  4  | 12 15  |  3 19  |  6  9  | 20  8  |  5 17  | 18  7  | 10 11  | 16 14  |
| 18 16  |  7  1  |  4  5  |  2 12  | 10 14  | 11 19  |  3 15  |  9 20  | 17  6  |  8 13  |
|  8  5  | 11 14  |  7  1  | 15 20  |  2 16  |  4 18  | 19  9  | 17  6  |  3 13  | 10 12  |
| 15  4  |  5 17  |  8 16  | 10 14  |  3  1  |  6  9  | 18  7  | 11 13  |  2 12  | 20 19  |
|  9 17  | 16 10  | 11 14  |  7  8  |  4 15  |  1  5  |  6 13  | 12  2  | 19 20  | 18  3  |
---------------------------------------------------------------------------------------------------------------
|  2 10  | 17  6  | 16 12  | 19  4  | 15 18  | 14  1  |  8  3  |  7 11  |  5  9  | 13 20  |
|  7  8  |  1 18  | 17  3  | 14  6  | 16  4  |  5 15  |  2 20  | 13  9  | 11 19  | 12 10  |
| 19  1  |  9  2  | 10  6  | 17 18  | 14 13  |  8 16  | 11 12  | 20  4  | 15  7  |  3  5  |
| 17 12  |  8 20  | 14 18  |  9 10  |  1  3  | 13  6  |  7 19  |  5 15  |  4  2  | 11 16  |
|  4 14  | 12  5  |  2  9  | 16 11  | 17 10  | 18 20  | 13  6  |  8 19  |  1  3  |  7 15  |
| 13  9  | 14 19  | 20 11  | 12  1  |  8  5  |  7  2  | 15 16  | 10  3  |  6 18  | 17  4  |
|  5 15  |  4 11  |  1 19  | 13  3  | 20  7  | 12 17  | 14 10  |  6 18  |  8 16  |  9  2  |
| 16  6  | 10 13  | 15  8  | 20  7  | 11  2  |  3  4  |  9  5  | 14  1  | 12 17  | 19 18  |
| 20 18  |  3 16  |  5  7  |  8 15  | 19 12  |  9 11  |  4  1  |  2 17  | 13 10  | 14  6  |
| 11  3  | 15  7  | 13  4  |  5  2  |  9  6  | 19 10  | 17 18  | 16 12  | 20 14  |  1  8  |
---------------------------------------------------------------------------------------------------------------
