---------------------------------------------------------------------------------------------------------------
| 10  8  |  2  5  | 20  9  |  4 16  | 12  7  | 18 11  |  1 14  |  6 15  | 19 13  | 17  3  |
| 20  4  | 11 17  | 18  1  | 19 13  | 10  8  | 14 16  |  3 15  |  2  7  |  9  6  |  5 12  |
| 16 19  | 10  1  | 14  3  |  9  7  | 13  6  |  4 15  |  2 20  | 11 12  |  5 17  | 18  8  |
|  1  7  | 19 20  | 10  5  | 14  8  |  3 15  |  9 17  |  6 12  | 16 13  |  4 18  | 11  2  |
|  3  9  |  7 16  |  2  8  | 18 20  | 19  4  | 13 12  | 17 10  | 14  5  | 15 11  |  6  1  |
| 18 17  |  8  6  | 19  4  | 10 15  | 20  9  |  7  2  | 11  5  |  1  3  | 12 14  | 13 16  |
|  5 14  |  9 15  |  7 11  |  2 12  | 17  1  |  6 20  | 13  4  | 18  8  | 16  3  | 10 19  |
| 13 12  | 14  3  | 16 17  |  1  6  |  2 11  |  5 10  |  7 18  |  4 19  |  8 20  | 15  9  |
|  2  6  | 13 18  | 12 15  | 11  3  | 16  5  |  8  1  |  9 19  | 20 17  |  7 10  |  4 14  |
| 11 15  | 12  4  |  6 13  |  5 17  | 18 14  | 19  3  |  8 16  | 10  9  |  1  2  |  7 20  |
---------------------------------------------------------------------------------------------------------------
|  6  5  | 17 13  |  8 10  | 15 19  | 11 16  |  2 14  | 18  9  | 12  1  |  3  7  | 20  4  |
| 19 10  |  5  9  |  4 18  | 13  2  |  1 17  | 16  7  | 14  6  |  8 11  | 20 12  |  3 15  |
|  4  2  | 15 10  |  5 12  |  6  9  | 14 18  |  1 13  | 16  7  |  3 20  | 11  8  | 19 17  |
|  8 16  |  3  2  | 15 19  | 12 11  |  4 13  | 17  6  | 20  1  |  7 14  | 10  5  |  9 18  |
| 15 13  |  6  8  | 17  7  | 16  4  |  5 19  | 20 18  | 12  3  |  9 10  | 14  1  |  2 11  |
| 17  1  | 20 19  |  3  2  |  8 10  | 15 12  | 11  9  |  4 13  |  5  6  | 18 16  | 14  7  |
| 12  3  | 16  7  |  9  6  | 20 14  |  8  2  | 15  4  | 10 11  | 13 18  | 17 19  |  1  5  |
| 14 20  | 18 12  | 11 16  | 17  1  |  7 10  |  3 19  |  5  2  | 15  4  | 13  9  |  8  6  |
|  9 11  |  4 14  |  1 20  |  7 18  |  6  3  | 10  5  | 19  8  | 17 16  |  2 15  | 12 13  |
|  7 18  |  1 11  | 13 14  |  3  5  |  9 20  | 12  8  | 15 17  | 19  2  |  6  4  | 16 10  |
---------------------------------------------------------------------------------------------------------------
