---------------------------------------------------------------------------------------------------------------
|  1 18  | 20 13  | 15  6  |  4  2  | 16  8  | 19  5  |  9  7  | 11  3  | 17 14  | 12 10  |
|  7 10  | 14  5  | 17 16  |  6 12  | 18  4  | 15  3  | 19  1  | 20 13  |  2  8  |  9 11  |
|  4 19  |  1  2  |  7 14  | 15 17  | 20 10  | 13 11  |  5 16  | 18  9  |  3 12  |  8  6  |
|  6 14  |  9 19  | 13  8  | 20 16  | 12  1  |  4 10  |  3 11  |  7 15  | 18  5  | 17  2  |
| 20 11  | 12  6  | 19  1  | 14  9  |  2  3  | 16 18  |  4 13  | 17  8  |  7 10  |  5 15  |
|  8 12  |  4 11  |  5 10  | 19 18  | 15  6  |  2  1  | 17 20  | 16 14  |  9 13  |  7  3  |
| 15 17  |  7 10  | 11  9  |  1  3  | 19 14  | 20  8  | 18  2  | 12  5  | 16  6  | 13  4  |
|  9  3  | 18 16  | 20  4  |  7 11  | 13  5  | 12 17  |  8 10  |  2  6  | 15  1  | 19 14  |
| 16  2  | 17  8  | 18  3  |  5 13  |  7  9  |  6 14  | 15 12  | 10  4  | 11 19  |  1 20  |
| 13  5  | 15  3  |  2 12  |  8 10  | 11 17  |  9  7  | 14  6  |  1 19  | 20  4  | 18 16  |
---------------------------------------------------------------------------------------------------------------
| 14 20  |  5 18  |  1 13  | 11  4  |  8  2  | 17 16  | 10  9  |  6 12  | 19  3  | 15  7  |
|  2  6  |  3 14  |  4 15  | 16  5  |  9 13  |  7 20  | 11 17  |  8  1  | 12 18  | 10 19  |
| 11  7  | 10 15  | 14  2  |  9  1  |  4 20  |  8 12  | 13 19  |  5 17  |  6 16  |  3 18  |
|  3  1  |  2  7  | 12 20  | 18  8  | 10 15  |  5 13  | 16  4  | 19 11  | 14 17  |  6  9  |
| 19 15  |  6  9  |  3  7  | 13 14  | 17 11  |  1  2  | 12  8  |  4 18  | 10 20  | 16  5  |
| 18  4  | 13 20  |  9  5  |  2  7  |  1 12  | 10 19  |  6 14  |  3 16  |  8 15  | 11 17  |
|  5 16  |  8 17  | 10 18  |  3 20  | 14 19  | 11  6  |  1 15  | 13  7  |  4  9  |  2 12  |
| 12 13  | 16  1  |  6 19  | 17 15  |  3  7  | 14  4  |  2 18  |  9 10  |  5 11  | 20  8  |
| 17  9  | 19 12  |  8 11  | 10  6  |  5 16  | 18 15  | 20  3  | 14  2  |  1  7  |  4 13  |
| 10  8  | 11  4  | 16 17  | 12 19  |  6 18  |  3  9  |  7  5  | 15 20  | 13  2  | 14  1  |
---------------------------------------------------------------------------------------------------------------
