---------------------------------------------------------------------------------------------------------------
| 16  5  |  4  1  | 17 15  | 12  9  |  7 14  |  8 11  |  6 13  | 18  2  | 20 10  | 19  3  |
| 20  4  | 14 15  |  3  6  | 11 19  |  8  5  |  7 18  |  2 17  | 13  9  | 16  1  | 10 12  |
|  8  9  | 11 12  | 19 10  | 15  4  | 16  3  |  5  2  |  7 18  | 17 20  | 13 14  |  1  6  |
| 17  2  |  5 20  |  9  1  |  8  6  | 11 15  | 19 12  | 16  4  |  7 10  | 18  3  | 13 14  |
|  1 14  |  9 18  |  8 13  | 10  3  | 19  6  | 16  4  |  5 12  | 15 11  |  7 17  | 20  2  |
| 12 18  |  2  6  |  5  7  |  1 17  | 10 13  |  3 15  |  9 20  | 16 14  | 19  4  |  8 11  |
| 11 10  | 16 13  |  4 14  |  5  7  |  1  9  |  6 20  | 15  3  | 12 19  |  2  8  | 18 17  |
|  3 13  |  7 10  | 20 12  | 14 16  |  2 18  |  1 17  | 19 11  |  4  8  | 15  6  |  9  5  |
| 15  6  |  3 19  | 16 11  | 18  2  | 17 20  | 13 10  |  8 14  |  5  1  | 12  9  |  7  4  |
|  7 19  | 17  8  | 18  2  | 20 13  |  4 12  |  9 14  | 10  1  |  3  6  | 11  5  | 15 16  |
---------------------------------------------------------------------------------------------------------------
| 10  8  | 15  5  |  7 20  | 19 14  | 13 11  | 12  6  |  4  9  |  2 18  |  3 16  | 17  1  |
| 18 20  | 13  9  | 15  3  |  7 11  | 14 17  |  4  1  | 12 19  |  8 16  |  5  2  |  6 10  |
| 19 11  | 18 17  |  1  9  |  4 15  | 12  7  | 14  3  | 20  2  | 10  5  |  6 13  | 16  8  |
| 13  7  | 19 11  |  2 16  | 17 20  |  5 10  | 18  8  | 14  6  |  1 12  |  4 15  |  3  9  |
|  9  3  | 20  7  | 12 17  | 13 10  | 15  8  | 11  5  |  1 16  |  6  4  | 14 19  |  2 18  |
| 14  1  |  8  2  | 11 18  |  3 12  |  6  4  | 10 16  | 13 15  | 19 17  |  9 20  |  5  7  |
|  5 12  |  1 14  | 10 19  |  6 18  | 20 16  |  2 13  | 17  7  |  9  3  |  8 11  |  4 15  |
|  6 16  | 10  3  | 13  4  |  2  5  | 18 19  | 17  9  | 11  8  | 14 15  |  1  7  | 12 20  |
|  4 17  |  6 16  | 14  8  |  9  1  |  3  2  | 15 19  | 18  5  | 20  7  | 10 12  | 11 13  |
|  2 15  | 12  4  |  6  5  | 16  8  |  9  1  | 20  7  |  3 10  | 11 13  | 17 18  | 14 19  |
---------------------------------------------------------------------------------------------------------------
