---------------------------------------------------------------------------------------------------------------
|  2 14  |  6 19  | 10  3  | 20  5  |  8 11  | 15  9  | 17  4  |  7 12  | 13 16  | 18  1  |
| 15  7  |  1 18  | 16  8  |  4 10  |  5 17  | 11  2  | 20  6  | 14  9  | 12  3  | 13 19  |
| 17 13  | 14  2  |  7  1  |  9 12  |  4 20  |  5  8  | 10 15  |  6 19  | 18 11  |  3 16  |
|  5  1  |  8  9  | 14  2  |  3 16  |  6 10  | 20  4  | 12 18  | 15 13  |  7 19  | 17 11  |
|  6  3  | 15 17  | 19  9  |  7  2  |  1 18  | 12 16  |  8 13  | 11  4  | 14 20  | 10  5  |
|  9 18  |  5 10  |  6 17  |  1 19  |  3 14  |  7 13  |  2 11  |  8 16  |  4 15  | 20 12  |
| 11  8  |  3 20  | 15 12  |  6 13  |  9 16  |  1 19  | 14  7  | 18 10  | 17  5  |  4  2  |
| 16 20  | 13  7  |  5  4  | 11  8  | 12 15  |  6 18  | 19  3  | 17  2  | 10  1  | 14  9  |
| 12 10  | 16  4  | 20 11  | 18 15  | 19 13  | 14 17  |  1  9  |  3  5  |  8  2  |  7  6  |
|  4 19  | 12 11  | 18 13  | 17 14  |  2  7  | 10  3  | 16  5  |  1 20  |  9  6  | 15  8  |
---------------------------------------------------------------------------------------------------------------
|  1 16  | 10  5  | 17  7  | 15  4  | 18  2  |  8 11  | 13 14  | 12  6  | 20  9  | 19  3  |
|  7 11  | 20  3  |  4 14  | 10  1  | 13  5  | 16 15  |  9  2  | 19 18  |  6 12  |  8 17  |
| 19  5  |  4  6  | 12 20  | 14 17  | 15  3  | 13 10  | 11 16  |  2  8  |  1 18  |  9  7  |
|  3 12  | 17 13  |  8  5  | 16 20  |  7  1  | 18  6  | 15 10  |  9 11  | 19 14  |  2  4  |
| 18  4  |  7 14  |  3 10  |  5 11  | 16  8  |  9 12  |  6 19  | 13 15  |  2 17  |  1 20  |
| 10 17  | 11 16  | 13 19  | 12  3  | 20  9  |  2 14  | 18  8  |  4  1  |  5  7  |  6 15  |
| 13  9  | 18  1  | 11 15  |  2  7  | 17  6  | 19  5  |  4 12  | 20 14  |  3  8  | 16 10  |
| 14  6  | 19 15  |  2 18  |  8  9  | 11  4  | 17 20  |  3  1  |  5  7  | 16 10  | 12 13  |
|  8 15  |  2 12  |  9  6  | 13 18  | 10 19  |  3  1  |  7 20  | 16 17  | 11  4  |  5 14  |
| 20  2  |  9  8  |  1 16  | 19  6  | 14 12  |  4  7  |  5 17  | 10  3  | 15 13  | 11 18  |
---------------------------------------------------------------------------------------------------------------
