---------------------------------------------------------------------------------------------------------------
| 16  6  | 10 11  |  1 12  | 15 13  |  4  2  | 17 20  | 18  9  |  3 14  | 19  5  |  8  7  |
|  2 14  |  1  9  | 11  6  | 17 16  | 15  5  | 19 18  | 12 10  |  7  8  | 20  3  |  4 13  |
| 12 15  | 14  7  |  4 19  |  1 18  | 20  9  |  2 11  |  6 17  |  5 10  |  8 13  |  3 16  |
|  1 10  | 16 19  |  9 17  | 20  6  | 13 18  |  4  3  |  2  8  | 15 12  |  7 14  |  5 11  |
|  9  8  | 17  6  | 16 13  | 19  2  | 11 10  | 14  7  |  3  5  | 18  1  | 15  4  | 20 12  |
| 19  7  |  5 20  | 10  8  |  9 12  | 16  3  | 15 13  | 14  4  | 17  2  | 18 11  |  1  6  |
| 20  4  |  8  3  |  7  5  | 10 11  |  1 17  |  9 16  | 19 15  |  6 13  | 12  2  | 14 18  |
| 18 11  |  4 12  | 20 15  |  7  3  | 19 14  |  5  8  | 13  1  |  9 16  | 17  6  |  2 10  |
|  5 13  | 18  2  | 14  3  |  4  8  |  7  6  |  1 12  | 16 11  | 20 19  |  9 10  | 17 15  |
| 17  3  | 15 13  |  2 18  |  5 14  | 12  8  | 10  6  |  7 20  | 11  4  | 16  1  | 19  9  |
---------------------------------------------------------------------------------------------------------------
| 10 12  |  2 14  | 19  7  | 18  1  | 17  4  | 16  9  | 11  3  | 13 15  |  5 20  |  6  8  |
|  8 20  | 11  5  |  6  4  |  3  9  |  2 12  | 13 17  | 10 16  | 19  7  |  1 15  | 18 14  |
| 14 17  |  9 18  |  5 10  | 11  4  |  8  1  |  6 15  | 20 13  | 12  3  |  2  7  | 16 19  |
|  3  9  |  7 15  | 12 14  |  8 20  |  5 19  | 18  4  | 17  2  | 10  6  | 13 16  | 11  1  |
| 13  2  | 20 17  | 15  9  | 12  5  |  3 11  |  7  1  |  8  6  | 16 18  | 14 19  | 10  4  |
|  7 18  | 13  4  | 17  2  |  6 15  | 14 16  |  3 10  |  9 19  |  1  5  | 11  8  | 12 20  |
| 11  1  |  3 16  | 13 20  |  2 17  |  6 15  | 12 19  |  4 14  |  8  9  | 10 18  |  7  5  |
|  4 16  | 19 10  |  3 11  | 13  7  |  9 20  |  8  5  |  1 18  | 14 17  |  6 12  | 15  2  |
| 15 19  |  6  1  |  8 16  | 14 10  | 18  7  | 20  2  |  5 12  |  4 11  |  3  9  | 13 17  |
|  6  5  | 12  8  | 18  1  | 16 19  | 10 13  | 11 14  | 15  7  |  2 20  |  4 17  |  9  3  |
---------------------------------------------------------------------------------------------------------------
