---------------------------------------------------------------------------------------------------------------
|  5  4  | 16 13  |  7 10  | 20 19  | 11 18  |  9 15  | 12  6  |  1  2  | 14  8  |  3 17  |
|  6  1  |  9 18  |  2 17  | 12 14  |  8  5  | 11 16  | 20 15  | 10  7  | 13  3  | 19  4  |
| 18 12  |  1  5  |  9 11  |  7  3  | 16  4  | 14  6  | 19 13  | 15 20  | 10 17  |  8  2  |
|  3  2  |  8 20  | 16 13  |  9 18  | 15 12  |  7 17  | 11 14  |  5  6  |  4 19  | 10  1  |
| 15 20  |  3  2  |  4  6  | 16  8  |  9 13  | 18 10  |  1 17  | 11 19  | 12  7  | 14  5  |
| 13 11  |  4  6  | 20 15  |  2 17  | 14  3  |  8 19  |  9 10  | 18 12  |  5  1  |  7 16  |
| 10  8  | 12  7  | 18  3  |  4  1  | 17 19  | 13 20  | 16  5  | 14  9  | 15  2  | 11  6  |
| 17 19  | 10 15  |  5 14  | 13  6  | 20  7  |  4  1  | 18  2  |  3  8  | 11 16  | 12  9  |
|  7 16  | 19 14  |  8  1  | 15 11  |  2 10  |  5 12  |  4  3  | 13 17  |  9  6  | 18 20  |
|  9 14  | 11 17  | 19 12  |  5 10  |  1  6  |  3  2  |  7  8  |  4 16  | 20 18  | 15 13  |
---------------------------------------------------------------------------------------------------------------
| 12  7  | 14 16  | 13  5  | 11 15  |  6  1  |  2  9  | 17 20  | 19  3  | 18 10  |  4  8  |
| 14  3  | 15  8  |  6 18  | 10  5  | 13 11  | 12  7  |  2  4  | 17  1  | 16  9  | 20 19  |
|  1  6  | 13  3  | 14  8  | 19 12  |  7 15  | 16 11  |  5  9  | 20 10  | 17  4  |  2 18  |
| 20  9  |  7 12  | 10  4  | 14  2  | 18 16  |  1  8  |  3 11  |  6  5  | 19 13  | 17 15  |
| 19 10  |  5  1  | 12 16  | 18  9  |  4  2  | 17 13  | 15  7  |  8 11  |  3 20  |  6 14  |
|  4 18  |  2 19  |  3  9  |  8 20  | 12 17  | 15  5  | 13  1  |  7 14  |  6 11  | 16 10  |
| 11  5  | 20  9  |  1  7  | 17  4  |  3  8  |  6 18  | 10 19  | 16 15  |  2 14  | 13 12  |
| 16 17  | 18 11  | 15 20  |  3 13  | 19  9  | 10 14  |  6 12  |  2  4  |  8  5  |  1  7  |
|  8 15  |  6  4  | 17  2  |  1 16  | 10 20  | 19  3  | 14 18  |  9 13  |  7 12  |  5 11  |
|  2 13  | 17 10  | 11 19  |  6  7  |  5 14  | 20  4  |  8 16  | 12 18  |  1 15  |  9  3  |
---------------------------------------------------------------------------------------------------------------
