---------------------------------------------------------------------------------------------------------------
| 17  8  |  4  2  |  9 13  | 19  3  | 10  7  | 16  5  | 12 14  | 15  6  |  1 20  | 11 18  |
| 10 14  |  6  7  |  2 18  | 15  8  | 19  5  | 13 11  | 16  9  |  3 20  |  4 12  |  1 17  |
| 19  7  | 11 14  |  4 10  | 13 16  |  1 18  | 15  8  |  3 20  |  9  5  |  6 17  | 12  2  |
| 15 13  |  8 19  |  6  3  |  4 10  | 16  2  | 14 17  | 18  1  | 12 11  |  7  5  | 20  9  |
|  9  3  | 15 20  |  5  7  | 14 12  |  4  6  | 10 18  | 11 19  |  1 17  |  2 13  |  8 16  |
| 18 11  |  3  1  |  8 14  | 20  6  |  9 12  |  4  7  | 10 17  | 13  2  | 15 16  | 19  5  |
|  1 16  | 18 13  | 19 11  |  7  2  |  8 17  | 20 12  | 15  5  | 10 14  |  9  3  |  4  6  |
| 20  6  | 16  5  | 15 12  | 17 11  | 14 13  |  9  1  |  2  7  | 18  4  |  8 19  |  3 10  |
|  4  2  | 10 12  | 17  1  |  5  9  | 15 20  |  6  3  |  8 13  | 16 19  | 11 18  |  7 14  |
| 12  5  |  9 17  | 16 20  |  1 18  | 11  3  | 19  2  |  6  4  |  7  8  | 10 14  | 15 13  |
---------------------------------------------------------------------------------------------------------------
| 14 20  | 19  4  | 18  9  |  6 13  |  5 11  |  1 16  | 17 12  |  2  7  |  3  8  | 10 15  |
|  8  4  |  7  9  | 12  5  | 11 15  |  6 10  |  2 14  | 20  3  | 17 18  | 13  1  | 16 19  |
|  5 19  | 14  8  | 13 17  | 12  4  | 18 15  |  3  6  |  1 16  | 11 10  | 20  9  |  2  7  |
|  6 17  |  1 18  | 10  2  |  8 14  | 12 19  |  7 13  |  4 11  | 20  9  | 16 15  |  5  3  |
| 13 12  | 20 15  |  7 19  |  2  5  |  3  9  | 11 10  | 14  6  |  8 16  | 18  4  | 17  1  |
|  2 18  |  5 16  | 20  4  |  9 19  | 13  1  | 17 15  |  7 10  | 14  3  | 12 11  |  6  8  |
| 11  1  | 12 10  | 14  8  |  3 20  |  7 16  |  5  9  | 13  2  | 19 15  | 17  6  | 18  4  |
|  7 15  |  2  6  |  3 16  | 18  1  | 17 14  | 12 20  | 19  8  |  4 13  |  5 10  |  9 11  |
| 16  9  | 17  3  | 11 15  | 10  7  | 20  4  |  8 19  |  5 18  |  6  1  | 14  2  | 13 12  |
|  3 10  | 13 11  |  1  6  | 16 17  |  2  8  | 18  4  |  9 15  |  5 12  | 19  7  | 14 20  |
---------------------------------------------------------------------------------------------------------------
