---------------------------------------------------------------------------------------------------------------
|  2 15  |  3  8  | 20  1  |  4 12  |  5 19  | 18  7  |  6 10  | 16  9  | 11 17  | 13 14  |
|  7 18  | 15 13  | 14  5  | 17  6  | 10 16  | 19 12  |  1  4  |  8 20  |  9  2  | 11  3  |
|  8 17  |  2 12  | 19 18  |  5 10  |  6 13  |  3 14  |  9 15  |  1 11  | 16 20  |  4  7  |
|  4 12  |  7  1  |  8 17  | 14 16  | 15 11  |  5 13  |  2 18  |  6 10  |  3 19  | 20  9  |
|  5 13  | 17  9  | 12 11  |  8 15  | 14  2  |  6 16  | 19 20  |  4  3  |  1  7  | 18 10  |
| 10  6  |  4 19  |  2 15  | 11  9  |  8 18  | 20 17  | 14  3  |  7 13  | 12  5  |  1 16  |
| 20 16  |  6  5  | 13  3  | 19  2  |  9 17  | 15  1  |  7 11  | 14 18  |  4 10  | 12  8  |
| 11 19  | 10 20  |  4 16  | 13  3  |  1  7  |  2  9  | 17  8  | 15 12  | 14 18  |  6  5  |
|  1  3  | 16 14  |  6  9  | 18  7  |  4 20  | 10 11  | 13 12  |  2  5  | 15  8  | 17 19  |
| 14  9  | 18 11  |  7 10  |  1 20  | 12  3  |  4  8  | 16  5  | 17 19  | 13  6  | 15  2  |
---------------------------------------------------------------------------------------------------------------
| 19 14  |  8  3  | 17  7  | 16 18  | 13 15  | 12 10  |  5  9  | 11  6  | 20  1  |  2  4  |
|  3 10  | 14 17  |  1 20  |  9  5  | 11 12  | 13 15  | 18 16  | 19  8  |  2  4  |  7  6  |
| 16  4  | 20  7  | 10 13  |  2 17  | 18  1  |  8  5  | 15  6  |  3 14  | 19 11  |  9 12  |
| 12  5  | 11 16  | 15  4  | 20  8  |  2 10  |  1 18  |  3 13  |  9  7  |  6 14  | 19 17  |
|  9  1  | 13 15  |  5 19  |  7  4  | 17  6  | 11  2  | 12 14  | 20 16  |  8  3  | 10 18  |
|  6  7  |  9 18  |  3 14  | 15  1  | 16  5  | 17 20  |  4 19  | 12  2  | 10 13  |  8 11  |
| 15  2  |  1  6  | 18 12  | 10 11  |  3  4  | 14 19  |  8  7  | 13 17  |  5  9  | 16 20  |
| 17  8  | 19 10  | 11  2  | 12 14  |  7  9  | 16  6  | 20  1  |  5  4  | 18 15  |  3 13  |
| 18 20  |  5  2  | 16  6  |  3 13  | 19  8  |  9  4  | 11 17  | 10  1  |  7 12  | 14 15  |
| 13 11  | 12  4  |  9  8  |  6 19  | 20 14  |  7  3  | 10  2  | 18 15  | 17 16  |  5  1  |
---------------------------------------------------------------------------------------------------------------
