---------------------------------------------------------------------------------------------------------------
| 19 18  | 13  3  | 17 11  | 16 14  |  9 10  |  8  2  |  1  6  | 12 20  |  4  7  |  5 15  |
|  5 12  |  7  9  | 18 20  | 11 10  | 15  1  | 14 17  |  2 19  |  3 16  | 13  8  |  4  6  |
|  4  6  | 18 15  | 19  2  |  8 13  |  5 20  | 10 11  | 17  9  | 14  7  | 12 16  |  1  3  |
| 11 15  | 19 20  |  3  4  | 17  9  |  8 13  | 12 16  | 14  5  |  2 18  |  1  6  |  7 10  |
| 13 10  | 12 14  |  8  1  |  3 15  | 11 17  |  9 19  | 16  7  |  4  6  |  2  5  | 18 20  |
|  8  9  |  4  6  | 12  7  | 18 20  |  3 16  | 15  1  | 11 13  | 17  5  | 19 10  |  2 14  |
|  3  2  | 11  1  | 13  9  |  7  4  | 18 12  |  6  5  | 15  8  | 19 10  | 14 20  | 16 17  |
| 16 17  |  5  2  | 14  6  | 19 12  |  7  4  |  3 18  | 10 20  | 11  1  |  9 15  |  8 13  |
| 20 14  | 16 17  | 15 10  |  1  5  |  6  2  |  4  7  | 12 18  |  8 13  | 11  3  | 19  9  |
|  1  7  |  8 10  |  5 16  |  6  2  | 19 14  | 13 20  |  3  4  |  9 15  | 18 17  | 11 12  |
---------------------------------------------------------------------------------------------------------------
|  2 20  | 10 19  |  7 14  |  4 16  |  1  6  |  5  8  | 18 17  | 13 12  | 15  9  |  3 11  |
| 15  4  |  6 13  | 10  5  |  2  7  | 16 11  |  1  3  | 19 14  | 18  9  | 20 12  | 17  8  |
|  6 11  |  2 12  |  4 15  | 10  8  | 14  5  | 17 13  | 20 16  |  1 19  |  3 18  |  9  7  |
| 14  1  | 20  4  | 11 19  |  9 18  | 13  7  | 16 10  |  8  3  | 15 17  |  6  2  | 12  5  |
| 18  3  | 14 11  |  9  8  | 15  6  |  4 19  |  7 12  | 13 10  |  5  2  | 17  1  | 20 16  |
|  7 19  | 17 18  | 20 12  | 13 11  | 10 15  |  2  9  |  5  1  | 16  3  |  8 14  |  6  4  |
| 10  8  |  3  7  |  2 13  |  5  1  | 17 18  | 20 15  |  9 12  |  6 11  | 16  4  | 14 19  |
| 12 13  |  1  8  | 16 17  | 14  3  |  2  9  | 19  6  |  7 15  | 20  4  |  5 11  | 10 18  |
|  9  5  | 15 16  |  1  3  | 20 17  | 12  8  | 18  4  |  6 11  | 10 14  |  7 19  | 13  2  |
| 17 16  |  9  5  |  6 18  | 12 19  | 20  3  | 11 14  |  4  2  |  7  8  | 10 13  | 15  1  |
---------------------------------------------------------------------------------------------------------------
