---------------------------------------------------------------------------------------------------------------
| 15  2  |  5 11  | 10 17  |  8  9  |  7  4  | 12  1  |  3 13  | 18 19  | 16 20  |  6 14  |
| 12 17  | 13  1  |  5 16  | 19  3  |  8 15  | 14  4  | 20 18  |  7  9  | 11  6  | 10  2  |
|  8  5  | 17  2  |  9  1  | 16 14  |  3 12  |  6  7  | 15 10  | 20 11  | 19 13  |  4 18  |
| 20 19  | 16 12  | 13 18  |  1 17  | 14  6  | 15 11  |  7  2  |  5  4  |  9 10  |  3  8  |
|  3 13  | 19  7  |  4 11  |  5 15  | 16 20  | 18 10  |  6 12  |  8 14  |  2 17  |  9  1  |
|  6 10  |  3 15  | 19 12  | 13 11  |  1 17  | 20  9  | 14  4  |  2 16  | 18  8  |  5  7  |
|  4 18  | 10  8  |  3 15  | 12  7  | 13  5  | 19  2  | 11  9  |  6 17  | 14  1  | 20 16  |
|  7 14  | 18 20  |  8  6  |  2 10  |  9 19  |  5  3  | 16  1  | 12 13  |  4 15  | 17 11  |
|  1 16  |  4  9  | 20 14  | 18  6  | 11  2  | 17 13  | 19  8  |  3 10  |  7  5  | 12 15  |
| 11  9  | 14  6  |  2  7  | 20  4  | 18 10  | 16  8  | 17  5  |  1 15  | 12  3  | 19 13  |
---------------------------------------------------------------------------------------------------------------
|  9  1  |  7 17  | 15  2  | 11 16  | 20 13  |  4 19  | 18  3  | 10 12  |  5 14  |  8  6  |
|  5  6  |  9 16  | 12 20  | 15  2  |  4  1  |  7 18  | 10 14  | 11  3  |  8 19  | 13 17  |
| 16 15  | 11  3  | 17  9  |  4 13  | 10 14  |  8 12  |  5  6  | 19 18  |  1  7  |  2 20  |
| 10  8  | 20 19  |  7  3  |  6  1  | 15 11  |  9 16  | 12 17  |  4  2  | 13 18  | 14  5  |
| 18 20  | 12  5  |  6 13  |  7 19  | 17 16  | 11 14  |  4 15  |  9  8  | 10  2  |  1  3  |
|  2 11  |  1 18  | 16  8  | 17 20  |  5  9  | 10  6  | 13 19  | 14  7  |  3 12  | 15  4  |
| 13  7  | 15 10  |  1  5  | 14 12  | 19  3  |  2 20  |  8 11  | 16  6  | 17  4  | 18  9  |
| 19  4  |  6 13  | 14 10  |  3  8  |  2 18  |  1  5  |  9 16  | 17 20  | 15 11  |  7 12  |
| 14  3  |  8  4  | 18 19  |  9  5  | 12  7  | 13 17  |  2 20  | 15  1  |  6 16  | 11 10  |
| 17 12  |  2 14  | 11  4  | 10 18  |  6  8  |  3 15  |  1  7  | 13  5  | 20  9  | 16 19  |
---------------------------------------------------------------------------------------------------------------
