---------------------------------------------------------------------------------------------------------------
| 14 10  | 18  8  | 19  7  | 13  3  | 12  4  | 16  5  | 15  6  |  2 11  |  9  1  | 17 20  |
|  1 15  | 19  5  | 18 13  | 10  2  |  8  6  |  4  7  |  3 11  | 12 20  | 16 17  |  9 14  |
| 12  3  | 14 16  | 17  6  |  7 19  | 13  2  | 20 15  |  8 18  |  4  9  | 11 10  |  1  5  |
| 13  6  |  3 10  |  1 16  | 20  9  | 19 14  | 11 17  |  4  2  |  8  5  | 18 12  |  7 15  |
|  8  5  |  4  9  | 10 15  | 18 12  |  3 20  | 19  1  |  7 17  | 16 14  |  2 13  | 11  6  |
|  4 20  |  2 11  | 12  9  |  1 16  | 10  7  | 14  6  | 19 13  |  3 17  |  5 15  | 18  8  |
| 19 11  | 12  1  |  5  8  |  6 15  |  9 17  |  2  3  | 16 20  |  7 18  |  4 14  | 10 13  |
| 17  2  |  6  7  | 11  4  |  8  5  | 16 18  | 13  9  | 14  1  | 15 10  | 20  3  | 12 19  |
|  9 16  | 13 20  |  3 14  | 17 11  | 15  1  | 18 12  | 10  5  |  6 19  |  7  8  |  4  2  |
| 18  7  | 15 17  |  2 20  |  4 14  | 11  5  | 10  8  | 12  9  | 13  1  | 19  6  |  3 16  |
---------------------------------------------------------------------------------------------------------------
|  7 18  | 16 15  |  6 10  |  2  1  |  4 12  |  9 19  |  5  8  | 20  3  | 13 11  | 14 17  |
| 10  8  | 11  4  | 14 19  | 16 20  |  1 15  |  6 13  |  9  7  |  5 12  | 17 18  |  2  3  |
|  6 19  |  9 13  |  4 18  |  3  8  | 17 10  | 12 20  |  1 16  | 14  7  | 15  2  |  5 11  |
|  5 13  |  8 18  | 16 12  | 15  6  | 14  9  |  3 10  | 11 19  | 17  2  |  1  7  | 20  4  |
| 20  9  | 10  6  |  8 17  | 19 18  |  7  3  | 15 11  |  2  4  |  1 13  | 14  5  | 16 12  |
|  3  4  |  1 19  | 13 11  | 14 10  | 18  8  |  5  2  | 17 12  |  9 16  |  6 20  | 15  7  |
| 15 14  |  7  3  | 20  1  |  5 13  |  2 19  | 17 16  |  6 10  | 11  4  | 12  9  |  8 18  |
| 11 12  |  5 14  | 15  2  |  9 17  | 20 16  |  7 18  | 13  3  | 10  6  |  8  4  | 19  1  |
| 16  1  | 17  2  |  9  5  | 12  7  |  6 11  |  8  4  | 20 14  | 18 15  |  3 19  | 13 10  |
|  2 17  | 20 12  |  7  3  | 11  4  |  5 13  |  1 14  | 18 15  | 19  8  | 10 16  |  6  9  |
---------------------------------------------------------------------------------------------------------------
