---------------------------------------------------------------------------------------------------------------
|  2 13  | 19 16  | 15  7  | 20 11  | 12 10  |  8  5  |  6  4  | 17 14  | 18  3  |  9  1  |
| 11  7  |  2  4  |  9  6  | 17 12  |  8  1  | 15  3  | 18 13  | 20  5  | 16 10  | 14 19  |
| 19  8  | 10 15  |  2 11  |  6  5  | 20 17  |  9  7  | 14 12  | 13 16  |  4  1  | 18  3  |
|  5  9  |  3  8  | 19  4  |  7 10  | 18 11  | 12 17  | 20 16  |  6  1  | 14  2  | 13 15  |
| 18 12  | 11 13  |  5  3  |  9 14  |  6 15  | 20  4  |  8  1  | 19 10  | 17  7  | 16  2  |
| 16 10  | 18 20  | 13  8  |  2  4  |  9 19  | 14  1  | 17  5  | 12  3  | 15  6  |  7 11  |
|  6  1  |  7  9  | 16 18  |  3 13  |  2 14  | 10 11  | 15 19  |  8  4  | 12 20  | 17  5  |
| 20  3  |  5  6  | 14 17  |  1  8  |  4  7  | 19 16  | 11  2  | 15 18  | 13  9  | 12 10  |
| 17 15  |  1 14  | 20 12  | 19 18  |  5 16  |  2 13  | 10  3  |  7  9  |  8 11  |  4  6  |
| 14  4  | 17 12  |  1 10  | 15 16  |  3 13  |  6 18  |  7  9  | 11  2  | 19  5  |  8 20  |
---------------------------------------------------------------------------------------------------------------
| 10 17  |  6  3  | 11  1  | 14 19  | 16  9  |  5 20  |  2  8  |  4 12  |  7 13  | 15 18  |
| 13  6  | 12 10  |  7  2  |  4 20  | 14 18  | 16 19  |  1 15  |  3 11  |  9  8  |  5 17  |
|  3 11  | 14 17  |  8 15  | 10  9  | 13 20  | 18  2  |  5  7  | 16  6  |  1  4  | 19 12  |
|  1  2  | 16  5  | 10  9  |  8  3  |  7  4  | 17 14  | 12 20  | 18 19  | 11 15  |  6 13  |
|  9 19  | 13  1  |  3 20  | 12  2  | 11  8  |  7  6  | 16 18  | 14 15  |  5 17  | 10  4  |
|  8 16  | 20  7  | 17  5  | 11 15  |  1  3  |  4 12  | 19  6  |  9 13  | 10 18  |  2 14  |
|  7 18  |  8 19  | 12 16  |  5  6  | 10  2  | 13 15  |  4 11  |  1 17  |  3 14  | 20  9  |
| 15  5  |  4 18  |  6 19  | 13  1  | 17 12  | 11  8  |  9 14  | 10 20  |  2 16  |  3  7  |
| 12 14  |  9  2  |  4 13  | 18  7  | 15  6  |  1 10  |  3 17  |  5  8  | 20 19  | 11 16  |
|  4 20  | 15 11  | 18 14  | 16 17  | 19  5  |  3  9  | 13 10  |  2  7  |  6 12  |  1  8  |
---------------------------------------------------------------------------------------------------------------
