---------------------------------------------------------------------------------------------------------------
|  9 18  |  7 19  | 16 20  |  6 17  | 12 15  |  2  8  |  4 13  |  5 14  |  3 11  | 10  1  |
| 13 14  | 18  1  |  4 11  |  7 15  | 17  9  |  5 10  |  6  8  |  2 16  | 12 20  |  3 19  |
|  3 12  |  9 10  |  1 19  | 18  5  |  7  8  | 17 20  | 15  2  | 11 13  |  6  4  | 16 14  |
| 19 17  | 11 13  | 18  8  |  1  3  | 14  6  |  7 16  | 10  5  | 15  4  |  2  9  | 20 12  |
| 11  4  | 12 15  |  3  9  | 16 20  | 18 10  | 19 14  | 17  7  |  1  6  |  5 13  |  2  8  |
|  1  8  |  5  4  | 12  2  |  9 11  | 16 20  | 18 15  |  3 14  | 10 17  |  7 19  |  6 13  |
| 10 20  | 14  3  | 17  7  |  4  2  |  1 11  |  6 13  | 16 18  | 19 12  | 15  8  |  5  9  |
|  7 16  |  2  8  |  5  6  | 14 12  |  4 13  | 11  1  | 20 19  |  9  3  | 17 10  | 15 18  |
| 15  6  | 17 16  | 10 14  | 19 13  |  5  2  |  4  3  | 12  9  | 20  8  |  1 18  | 11  7  |
|  5  2  |  6 20  | 15 13  | 10  8  | 19  3  |  9 12  | 11  1  |  7 18  | 14 16  |  4 17  |
---------------------------------------------------------------------------------------------------------------
| 17  1  |  4 11  |  8 15  |  2  9  |  6 14  | 16 18  | 19 12  |  3  5  | 20  7  | 13 10  |
| 18 19  | 15  5  |  6 10  | 17  1  | 13 16  |  3  9  |  8 20  | 14  7  |  4  2  | 12 11  |
| 14 10  |  8 18  |  2 12  | 15  6  | 11  7  |  1 19  |  9  4  | 16 20  | 13  5  | 17  3  |
|  8  5  | 20  2  | 13 16  | 11 10  | 15  1  | 12  4  | 18  3  | 17  9  | 19 14  |  7  6  |
|  4 15  |  1  9  | 19 18  |  8  7  | 20 17  | 10 11  | 13  6  | 12  2  | 16  3  | 14  5  |
| 16  7  |  3 17  | 20  4  | 12 18  |  8 19  | 15  5  | 14 10  | 13 11  |  9  6  |  1  2  |
| 12  3  | 19  6  | 11  5  | 13  4  |  2 18  | 14 17  |  7 16  |  8 15  | 10  1  |  9 20  |
|  6  9  | 10 14  |  7  1  | 20 16  |  3 12  | 13  2  |  5 11  |  4 19  |  8 17  | 18 15  |
|  2 13  | 16  7  | 14 17  |  3 19  |  9  5  | 20  6  |  1 15  | 18 10  | 11 12  |  8  4  |
| 20 11  | 13 12  |  9  3  |  5 14  | 10  4  |  8  7  |  2 17  |  6  1  | 18 15  | 19 16  |
---------------------------------------------------------------------------------------------------------------
