---------------------------------------------------------------------------------------------------------------
| 18 14  | 15  3  |  8 11  |  5  2  | 10 20  |  7 13  |  1  4  |  9 12  | 19 17  | 16  6  |
|  6 15  | 18 19  | 14  7  | 11  9  |  2 17  | 20  3  | 12 10  |  1 16  |  5 13  |  8  4  |
| 20  7  |  1 13  | 15 19  | 10  3  | 11  9  | 18  8  |  6 17  | 14  5  | 16  4  |  2 12  |
|  8 10  |  7 14  | 13  1  | 12 19  |  3 15  | 11 16  |  2 18  | 17  4  |  9  6  |  5 20  |
| 16  2  |  8 10  | 18  5  | 13  7  | 19  6  |  1  4  | 14  3  | 11 20  | 12 15  | 17  9  |
| 13 19  |  6 20  |  4 16  | 18  8  |  1  7  | 17 12  |  9  5  |  3 10  | 14  2  | 15 11  |
|  4  3  |  2 16  |  9 12  |  1 17  |  5 14  | 10  6  | 11 20  | 18 15  |  8  7  | 13 19  |
| 11 17  | 12  4  |  6  2  | 16 14  | 18  8  |  5  9  | 13 15  | 19  7  |  1 20  |  3 10  |
|  9  1  | 11  5  | 20 17  |  6  4  | 13 12  | 14 15  | 16 19  |  2  8  |  3 10  |  7 18  |
| 12  5  |  9 17  |  3 10  | 20 15  |  4 16  |  2 19  |  8  7  |  6 13  | 18 11  |  1 14  |
---------------------------------------------------------------------------------------------------------------
| 14 20  | 16  1  |  7  6  | 17 11  | 12  2  | 19 10  |  4  8  | 15  9  | 13  3  | 18  5  |
| 15 11  | 19 12  |  1  4  |  8 18  |  7 10  |  6 20  |  3 16  | 13 14  |  2  5  |  9 17  |
| 17 18  | 10 15  |  5 20  |  2 16  |  6 11  |  3  7  | 19 13  | 12  1  |  4  9  | 14  8  |
|  2  9  |  3 11  | 10 18  |  7  6  |  8 13  | 16 14  | 15 12  |  5 17  | 20 19  |  4  1  |
| 10 16  |  5 18  | 17  3  | 15 20  |  9  4  | 13  1  |  7 14  |  8 19  | 11 12  |  6  2  |
| 19  6  | 13  9  | 16 15  |  4  5  | 20 18  |  8 11  | 10  1  |  7  2  | 17 14  | 12  3  |
|  1  8  | 17  6  |  2  9  |  3 12  | 14 19  | 15  5  | 20 11  |  4 18  |  7 16  | 10 13  |
|  5 12  | 14  8  | 19 13  |  9  1  | 16  3  |  4  2  | 17  6  | 10 11  | 15 18  | 20  7  |
|  3  4  | 20  7  | 12 14  | 19 13  | 17  1  |  9 18  |  5  2  | 16  6  | 10  8  | 11 15  |
|  7 13  |  4  2  | 11  8  | 14 10  | 15  5  | 12 17  | 18  9  | 20  3  |  6  1  | 19 16  |
---------------------------------------------------------------------------------------------------------------
