---------------------------------------------------------------------------------------------------------------
|  4  7  | 20  3  | 12 15  | 17  8  |  2 11  |  1 19  |  5 14  |  9 18  | 10 16  |  6 13  |
| 13 14  |  1 12  |  3  6  | 11  2  | 20  5  |  7 18  |  4 15  | 19 17  |  9  8  | 10 16  |
| 10 11  |  7 14  | 20  2  |  3  5  | 12  9  | 16 17  | 18 19  | 13  4  |  6  1  |  8 15  |
|  6 18  | 15  9  |  1 13  | 12 19  |  3 17  |  5  8  |  7 10  | 14 16  |  4 20  | 11  2  |
| 16 15  | 11  5  |  4 14  |  7  1  |  8 19  |  2  3  | 12  9  | 10  6  | 17 13  | 20 18  |
| 19 20  |  6 13  |  9 10  |  4 14  |  1 18  | 15 12  |  3 16  |  8  2  |  5 11  | 17  7  |
|  1  5  |  4 18  |  8 16  | 13 10  |  6 14  |  9 11  |  2 17  | 12 20  | 15  7  | 19  3  |
|  8  2  | 17 19  |  7 18  |  6 15  | 13 16  | 14 10  | 11 20  |  5  1  | 12  3  |  9  4  |
|  3 17  | 10 16  |  5 19  |  9 18  |  7  4  | 20  6  |  8 13  | 11 15  | 14  2  | 12  1  |
| 12  9  |  8  2  | 17 11  | 20 16  | 15 10  | 13  4  |  1  6  |  3  7  | 19 18  | 14  5  |
---------------------------------------------------------------------------------------------------------------
|  5 19  | 14 17  | 13  1  | 10  4  |  9  2  |  6 15  | 16 18  |  7 11  |  8 12  |  3 20  |
| 18  6  |  2  4  | 11 12  |  8  9  | 16  7  | 17  1  | 10  5  | 15  3  | 20 14  | 13 19  |
|  7  4  | 12  1  |  6  3  | 19 13  | 14 15  | 10  2  | 17  8  | 20  5  | 18  9  | 16 11  |
|  9  1  | 16 11  | 19 17  | 14 20  |  4 13  |  8  7  | 15  3  |  6 12  |  2  5  | 18 10  |
| 20 10  | 18  8  |  2  5  |  1 11  | 19  3  |  4 14  | 13 12  | 16  9  |  7 17  | 15  6  |
| 17  3  |  9 20  | 14  8  | 16  7  | 10  6  | 18  5  | 19 11  |  2 13  |  1 15  |  4 12  |
| 14 16  | 19  7  | 10  4  | 15 17  |  5 12  |  3 13  | 20  2  | 18  8  | 11  6  |  1  9  |
| 15  8  |  5  6  | 16  7  | 18  3  | 11 20  | 12  9  | 14  4  |  1 10  | 13 19  |  2 17  |
|  2 13  |  3 15  | 18  9  |  5 12  | 17  8  | 11 20  |  6  1  |  4 19  | 16 10  |  7 14  |
| 11 12  | 13 10  | 15 20  |  2  6  | 18  1  | 19 16  |  9  7  | 17 14  |  3  4  |  5  8  |
---------------------------------------------------------------------------------------------------------------
