---------------------------------------------------------------------------------------------------------------
|  2  4  | 15 10  |  9 14  | 12  3  | 19 11  |  1  8  | 18 16  |  5  6  | 13  7  | 17 20  |
|  8 13  |  7 17  |  6  1  |  9  2  | 14 20  | 12 18  | 19 11  |  3 15  |  5 16  |  4 10  |
|  5 15  |  4 16  | 12 11  |  1 14  | 13  7  |  3  2  |  8 17  |  9 19  | 20 10  |  6 18  |
| 11 14  |  2 13  |  4  3  | 15  6  |  8  9  | 10  5  |  1 12  | 18 20  | 19 17  | 16  7  |
| 17 20  |  3 19  | 15  5  | 18  7  |  1 12  |  9  6  | 14 13  | 10 16  | 11  4  |  8  2  |
|  1 19  |  8 12  |  2 13  | 17  4  | 15  3  |  7 16  | 10 20  | 11 14  | 18  6  |  5  9  |
|  3  6  | 11 20  |  8 17  | 16 10  |  4 18  | 19 13  |  5  9  |  1  7  | 15  2  | 12 14  |
| 10 16  |  1  5  | 20 18  | 13 11  | 17  6  | 15 14  |  7  4  |  2  8  |  9 12  | 19  3  |
| 12  7  |  9 18  | 19 16  | 20  8  |  5 10  | 11  4  |  6  2  | 13 17  | 14  3  | 15  1  |
| 18  9  |  6 14  |  7 10  |  5 19  | 16  2  | 20 17  | 15  3  |  4 12  |  1  8  | 11 13  |
---------------------------------------------------------------------------------------------------------------
| 16  3  | 13  4  | 10 12  | 19 18  |  2 15  |  5 20  |  9 14  | 17 11  |  6  1  |  7  8  |
| 19 10  | 17  9  | 16  6  | 11 20  |  7  1  | 18 12  | 13 15  | 14  3  |  8  5  |  2  4  |
|  4  8  | 16  3  | 13 20  |  2  1  | 18 17  |  6  7  | 12  5  | 15  9  | 10 11  | 14 19  |
|  6  1  | 19  7  |  3  4  | 10 16  | 20 14  |  2 11  | 17 18  |  8  5  | 12  9  | 13 15  |
| 13 18  |  5  1  | 17  9  |  7 15  | 11 16  |  8  3  |  2  6  | 19 10  |  4 14  | 20 12  |
|  9 11  | 10 15  | 18  7  |  6  5  |  3  4  | 14 19  | 20  8  | 12  2  | 17 13  |  1 16  |
| 20  5  | 12 11  |  1  8  | 14 17  |  9 19  |  4 10  |  3  7  | 16 13  |  2 15  | 18  6  |
|  7 12  | 18  8  | 14  2  |  4 13  | 10  5  | 17 15  | 16 19  |  6  1  |  3 20  |  9 11  |
| 15  2  | 14  6  |  5 19  |  8  9  | 12 13  | 16  1  | 11 10  | 20  4  |  7 18  |  3 17  |
| 14 17  | 20  2  | 11 15  |  3 12  |  6  8  | 13  9  |  4  1  |  7 18  | 16 19  | 10  5  |
---------------------------------------------------------------------------------------------------------------
