---------------------------------------------------------------------------------------------------------------
| 18 15  |  3  8  |  5  2  | 13 16  | 10  1  | 12  4  | 14  7  | 20 11  |  6 17  | 19  9  |
|  6  3  |  4  1  | 19 14  |  5 11  | 18  7  | 10 17  | 12 13  | 16 15  | 20  9  |  8  2  |
|  2 13  |  5 17  | 12  6  | 19 10  | 16 20  |  8  1  |  4 11  | 14  9  |  3 15  |  7 18  |
|  5  9  | 15 12  | 16  4  |  3  1  |  8 19  |  7 14  |  6 17  | 18 13  |  2 11  | 20 10  |
| 11 14  |  6 19  |  7 10  |  4 12  |  9 17  | 16 18  |  8 20  |  3  2  | 13  1  | 15  5  |
|  4 16  |  9 14  | 15 13  |  8 18  | 12  3  | 11 20  |  1  2  |  7 10  |  5 19  |  6 17  |
|  1 19  | 13  2  |  9  3  |  6 20  | 11  4  |  5 15  | 16 10  | 17  8  | 18  7  | 14 12  |
| 12  8  | 16 18  |  1 20  |  7 17  | 14 13  |  2  9  | 15  5  | 19  6  | 10  4  | 11  3  |
| 20 17  | 10  7  | 18 11  | 14  9  | 15  2  | 13  6  |  3 19  |  4  5  |  8 12  |  1 16  |
| 10  7  | 20 11  | 17  8  | 15  2  |  6  5  |  3 19  | 18  9  |  1 12  | 16 14  |  4 13  |
---------------------------------------------------------------------------------------------------------------
|  7  1  | 18  3  |  6 16  | 20 13  | 17 11  |  9 12  | 10 15  |  5  4  | 14  8  |  2 19  |
|  8 10  |  7 20  | 13 15  |  9 19  |  1 12  | 17 16  |  2  3  |  6 14  |  4  5  | 18 11  |
| 17  5  |  2 15  | 10  7  | 18  3  | 13 14  | 20 11  |  9 12  |  8 19  |  1  6  | 16  4  |
|  3  6  | 12  4  | 11 19  |  2 15  |  7 10  | 18  8  | 17 16  | 13  1  |  9 20  |  5 14  |
| 13 11  |  1 10  |  4 12  | 16  7  | 20 18  | 14  2  |  5  6  | 15 17  | 19  3  |  9  8  |
| 14  4  | 17 13  |  8  1  | 11  6  | 19 16  | 15  5  |  7 18  |  9  3  | 12  2  | 10 20  |
| 19 18  | 11  6  |  2  5  |  1 14  |  3  9  |  4 10  | 20  8  | 12 16  |  7 13  | 17 15  |
| 15 12  | 19  5  | 20  9  | 10  4  |  2  8  |  1  7  | 13 14  | 11 18  | 17 16  |  3  6  |
| 16  2  |  8  9  | 14 17  | 12  5  |  4 15  |  6  3  | 19  1  | 10 20  | 11 18  | 13  7  |
|  9 20  | 14 16  |  3 18  | 17  8  |  5  6  | 19 13  | 11  4  |  2  7  | 15 10  | 12  1  |
---------------------------------------------------------------------------------------------------------------
