---------------------------------------------------------------------------------------------------------------
|  9 11  |  6 10  |  8 12  |  3 16  |  7 17  |  1 15  | 18  2  |  4 20  | 19 14  | 13  5  |
|  4 16  |  2 15  |  6 14  | 13  9  | 12  1  | 17 11  |  7 19  |  5 10  | 20  3  |  8 18  |
|  5 18  |  9  1  | 10 13  |  4  8  | 16  3  | 12  7  | 17 15  | 14  2  |  6 11  | 19 20  |
|  6  2  | 16  3  |  9 19  | 10 17  | 15 11  | 13  4  | 12 20  |  7  8  |  5 18  | 14  1  |
|  3 19  | 11  7  |  2 16  | 12 14  | 10 13  | 18 20  |  5  4  | 17 15  |  8  1  |  9  6  |
| 12 14  |  4 18  | 11  3  | 19  2  |  5 20  | 10  8  |  1 13  | 16  6  | 15  9  |  7 17  |
| 17  1  | 20 14  |  4 18  | 11  5  |  9  8  | 19  3  | 10  6  | 13 12  |  7  2  | 15 16  |
| 15 10  | 19 12  | 20  1  |  6  7  |  4 14  |  5 16  |  8 11  |  9 18  | 17 13  |  2  3  |
|  8  7  |  5 13  | 15 17  |  1 20  |  2 18  |  9  6  |  3 14  | 11 19  |  4 16  | 12 10  |
| 13 20  |  8 17  |  5  7  | 15 18  | 19  6  | 14  2  | 16  9  |  1  3  | 12 10  | 11  4  |
---------------------------------------------------------------------------------------------------------------
| 11  4  | 14  9  |  7  6  | 18  1  | 13  2  | 20 12  | 19 16  | 10  5  |  3 15  | 17  8  |
| 19 15  |  1  6  | 17  2  |  5  3  | 14  7  | 16 10  |  4 12  |  8 13  | 11 20  | 18  9  |
| 10 17  | 12 16  | 13 15  | 20  6  |  3  9  |  8 14  |  2  7  | 18  4  |  1 19  |  5 11  |
|  1  3  | 17  4  | 19  8  |  9 11  | 18 10  |  6 13  | 15  5  |  2 16  | 14 12  | 20  7  |
| 20 13  |  7 19  | 12  4  | 17 10  |  1 16  |  2  5  | 14 18  |  3 11  |  9  8  |  6 15  |
|  2  8  | 15  5  |  1 10  |  7  4  | 17 19  | 11 18  |  9  3  | 20 14  | 13  6  | 16 12  |
| 18  6  | 13  8  | 16  9  | 14 15  | 11  5  |  7 17  | 20 10  | 12  1  |  2  4  |  3 19  |
| 16 12  |  3 20  | 14  5  |  8 13  |  6 15  |  4  9  | 11  1  | 19  7  | 18 17  | 10  2  |
| 14  5  | 10 11  | 18 20  |  2 19  |  8 12  |  3  1  |  6 17  | 15  9  | 16  7  |  4 13  |
|  7  9  | 18  2  |  3 11  | 16 12  | 20  4  | 15 19  | 13  8  |  6 17  | 10  5  |  1 14  |
---------------------------------------------------------------------------------------------------------------
