---------------------------------------------------------------------------------------------------------------
| 11  3  |  4  9  |  7  5  |  6  1  | 13  8  | 18 14  | 20 15  | 16 17  |  2 12  | 19 10  |
|  1 19  | 12 17  | 15  9  |  5 13  | 14  3  | 20  4  |  6 16  | 11  7  | 18 10  |  2  8  |
|  4 12  | 20  3  | 13 16  | 15  9  | 19 17  |  6  1  |  2  5  |  8 10  | 11  7  | 18 14  |
| 17  7  |  1  6  |  4 10  | 14 16  |  9 12  | 13  8  | 18 11  | 20  2  | 15 19  |  5  3  |
| 20  9  | 10 13  | 12 17  | 11 19  |  1  6  |  5  2  |  7  8  | 15 18  | 14  3  |  4 16  |
| 14 18  |  5 11  | 20  6  | 10 12  | 15  2  |  3 19  | 13 17  |  1  4  | 16  8  |  7  9  |
| 16 15  | 19 18  |  1 11  |  2  8  | 20  5  | 12  7  | 10 14  | 13  3  |  4  9  |  6 17  |
|  2  8  | 15 16  | 19 18  |  4 20  | 10  7  |  9 17  |  1  3  | 14  5  | 13  6  | 11 12  |
|  6  5  |  7 14  |  8  2  | 18  3  | 16 11  | 15 10  | 12  4  |  9 19  | 20 17  | 13  1  |
| 10 13  |  2  8  | 14  3  | 17  7  | 18  4  | 16 11  |  9 19  |  6 12  |  1  5  | 20 15  |
---------------------------------------------------------------------------------------------------------------
| 13 10  | 18  7  | 11  4  |  1 15  |  6 14  | 19 12  |  3  2  | 17  9  |  5 16  |  8 20  |
| 19 20  | 14 15  | 17  7  | 12  2  | 11  1  | 10 16  |  8 13  |  4  6  |  9 18  |  3  5  |
|  5  1  |  9 19  |  6 14  |  7 17  | 12 15  |  4 20  | 16 18  |  3 13  |  8  2  | 10 11  |
|  9  4  |  8 10  | 18 19  | 13  6  | 17 20  |  1 15  | 11  7  |  5 16  |  3 14  | 12  2  |
| 15 16  | 13  2  | 10  8  |  3  4  |  5 18  | 14  6  | 19  1  | 12 11  | 17 20  |  9  7  |
| 12 17  |  3 20  |  9 15  | 19  5  |  8 10  | 11 18  |  4  6  |  2 14  |  7  1  | 16 13  |
| 18 11  | 16  4  |  5  1  |  8 10  |  7 13  |  2  3  | 14  9  | 19 20  | 12 15  | 17  6  |
|  7  2  | 17 12  | 16 13  |  9 18  |  3 19  |  8  5  | 15 20  | 10  1  |  6 11  | 14  4  |
|  8 14  |  6  5  |  3 20  | 16 11  |  2  9  |  7 13  | 17 12  | 18 15  | 10  4  |  1 19  |
|  3  6  | 11  1  |  2 12  | 20 14  |  4 16  | 17  9  |  5 10  |  7  8  | 19 13  | 15 18  |
---------------------------------------------------------------------------------------------------------------
