---------------------------------------------------------------------------------------------------------------
| 17 16  | 13  6  |  2 11  | 15  3  | 12  4  | 19  5  | 14 10  |  9  8  | 18  1  |  7 20  |
| 10  3  | 15 19  | 13 18  | 11  9  |  8  5  | 17 12  |  7  6  |  1  2  | 14 20  |  4 16  |
| 13  4  |  3 12  | 10  9  |  2 17  | 20 19  | 18 16  |  5 11  |  7 15  |  6  8  |  1 14  |
| 18  8  |  1 17  |  3 16  | 13  5  | 11  9  | 15 20  |  2  4  | 14  6  |  7 19  | 10 12  |
|  7  6  | 16  4  | 17  1  | 18 14  |  2 13  | 11  9  | 12 15  | 20  3  | 10  5  |  8 19  |
| 11  2  |  9 14  |  6 19  |  1 16  | 17 15  | 13  7  |  8 20  | 10  5  | 12  4  | 18  3  |
| 20 19  | 18 11  | 12  4  |  6 10  |  3  7  |  8 14  |  9  1  | 17 13  | 15 16  |  5  2  |
|  9 12  |  2  7  |  8  5  |  4 20  | 10 14  |  6  1  | 13 18  | 16 19  |  3 17  | 15 11  |
|  1  5  |  8 20  | 15 14  | 19  7  | 18 16  |  2 10  | 17  3  |  4 12  | 13 11  |  6  9  |
| 15 14  |  5 10  | 20  7  | 12  8  |  6  1  |  4  3  | 19 16  | 18 11  |  2  9  | 17 13  |
---------------------------------------------------------------------------------------------------------------
| 16 20  | 11  3  | 19 12  | 17  6  |  5  8  | 14  4  | 10  7  | 13  1  |  9 15  |  2 18  |
|  3 10  |  7  2  |  9 15  |  5  1  | 16 12  | 20 18  | 11  8  | 19  4  | 17 13  | 14  6  |
|  6 18  | 14  8  |  7 10  | 20 19  | 13 17  |  1 15  |  4  9  |  2 16  | 11 12  |  3  5  |
| 12  9  | 19  5  | 11  2  | 14 15  |  1 20  | 16  8  | 18 17  |  6 10  |  4  3  | 13  7  |
|  8 17  | 20 13  | 14  3  | 16  2  |  7 18  | 12 19  |  6  5  | 15  9  |  1 10  | 11  4  |
| 14 11  | 17  9  | 16 20  | 10 13  |  4  2  |  5  6  |  1 12  |  3 18  |  8  7  | 19 15  |
|  2 13  | 10 16  |  4  8  |  3 11  | 14  6  |  9 17  | 15 19  | 12  7  |  5 18  | 20  1  |
| 19  7  |  6  1  | 18 17  |  9  4  | 15 11  | 10  2  |  3 13  |  5 20  | 16 14  | 12  8  |
|  4  1  | 12 15  |  5 13  |  7 18  |  9 10  |  3 11  | 20  2  |  8 14  | 19  6  | 16 17  |
|  5 15  |  4 18  |  1  6  |  8 12  | 19  3  |  7 13  | 16 14  | 11 17  | 20  2  |  9 10  |
---------------------------------------------------------------------------------------------------------------
