---------------------------------------------------------------------------------------------------------------
| 18 19  |  1  6  | 11  2  | 13 17  |  3  7  | 16 15  |  4 12  |  9 10  | 14  5  | 20  8  |
|  3 10  | 19 20  | 12  5  |  2 14  |  9  4  |  8 13  |  1 11  | 15 18  | 16 17  |  6  7  |
|  1 16  | 10  8  | 19 13  |  5  6  | 12 11  |  7  3  | 20  9  |  2  4  | 15 18  | 14 17  |
|  9 20  | 16 17  |  1  6  | 12 11  |  2 14  | 19  5  |  7  3  | 13  8  | 10  4  | 15 18  |
| 17  2  |  9 13  | 10 20  | 19 18  |  8  1  | 14 12  | 16 15  |  7  3  |  6 11  |  4  5  |
|  8 12  | 18  2  |  9 16  | 10  1  | 19 15  |  4 11  | 14  5  |  6 17  |  7 20  | 13  3  |
| 15  5  |  3 14  |  4 17  |  9  7  | 16 20  |  1 10  |  6 18  | 11 12  |  8 13  |  2 19  |
|  6 11  | 15  4  |  3  7  | 20  8  | 18  5  |  9  2  | 13 17  |  1 14  | 12 19  | 10 16  |
| 14  4  | 11  7  | 15  8  |  3 16  | 13  6  | 17 18  | 19 10  |  5 20  |  9  2  | 12  1  |
| 13  7  | 12  5  | 14 18  |  4 15  | 17 10  |  6 20  |  8  2  | 19 16  |  3  1  |  9 11  |
---------------------------------------------------------------------------------------------------------------
|  4  1  | 17  3  |  8  9  | 15 13  | 11 19  | 20  7  | 18 14  | 10  5  |  2 12  | 16  6  |
| 12  9  |  4 16  |  5 14  |  6  3  | 20 13  | 10  8  | 17 19  | 18  7  |  1 15  | 11  2  |
| 19 13  |  5  1  | 17 15  | 11  2  |  7  3  | 18  6  | 12 16  | 14  9  | 20 10  |  8  4  |
| 10  3  | 14 18  |  2  1  |  8  9  |  4 16  | 11 19  | 15  6  | 12 13  |  5  7  | 17 20  |
|  2  6  | 13 10  |  7  4  | 16 19  |  5  9  | 12 14  |  3 20  | 17  1  | 11  8  | 18 15  |
|  7  8  | 20 15  | 13  3  | 14  5  | 10 17  |  2 16  | 11  1  |  4  6  | 18  9  | 19 12  |
| 20 14  |  6 12  | 16 11  |  7 10  | 15 18  | 13  1  |  2  4  |  8 19  | 17  3  |  5  9  |
| 11 17  |  2 19  | 18 10  |  1  4  |  6 12  |  3  9  |  5  8  | 20 15  | 13 16  |  7 14  |
| 16 15  |  7 11  | 20 19  | 18 12  | 14  8  |  5 17  |  9 13  |  3  2  |  4  6  |  1 10  |
|  5 18  |  8  9  |  6 12  | 17 20  |  1  2  | 15  4  | 10  7  | 16 11  | 19 14  |  3 13  |
---------------------------------------------------------------------------------------------------------------
