---------------------------------------------------------------------------------------------------------------
|  2  6  | 11  7  |  9 20  |  1 16  |  3  8  | 15 18  |  4 10  | 12 17  | 14 13  |  5 19  |
| 16 11  |  6  2  |  7 17  | 12  3  | 18 15  | 10 19  |  1  9  | 14  5  |  4  8  | 20 13  |
| 17  5  | 20  4  |  2 18  |  7 13  | 16 19  |  3 14  | 11  8  | 10  1  | 15 12  |  9  6  |
|  9 19  | 18 14  | 15 16  | 17  2  | 12  5  |  8  1  |  3  6  |  4 13  | 10 20  |  7 11  |
| 20 10  | 17  5  |  4  8  |  9 11  |  2  1  | 16 12  | 18 13  | 15  6  | 19  7  | 14  3  |
| 15  3  |  9 19  |  5 11  | 20 18  |  7  6  |  2 13  | 14 12  |  8 16  |  1 17  | 10  4  |
|  4 12  |  3 16  |  6 10  | 14 19  | 17 13  | 11  5  | 15  2  | 20  7  |  9 18  |  1  8  |
|  8 14  | 15 12  | 13  1  | 10  6  | 11  9  | 17  4  | 20  7  | 18 19  |  5  3  |  2 16  |
| 18  1  | 10 13  | 19 12  |  8  4  | 14 20  |  7  6  | 16  5  |  3  9  | 11  2  | 15 17  |
|  7 13  |  1  8  | 14  3  |  5 15  |  4 10  | 20  9  | 17 19  |  2 11  | 16  6  | 18 12  |
---------------------------------------------------------------------------------------------------------------
| 10 16  |  8 17  | 12  4  | 15  5  |  6 11  |  1  3  | 19 14  |  7  2  | 20  9  | 13 18  |
| 13  4  | 14 10  |  8  5  |  3  9  | 15 16  | 19  7  |  2 11  |  6 18  | 17  1  | 12 20  |
| 19  7  |  5  3  | 10 14  |  6  1  |  8 17  |  9 11  | 12 18  | 16 20  | 13 15  |  4  2  |
|  3  8  |  4 20  | 11  7  |  2 12  |  5 14  | 13 10  |  6 16  |  9 15  | 18 19  | 17  1  |
| 12  2  |  7  6  | 17 13  |  4 20  |  1  3  | 18 16  |  5 15  | 11 14  |  8 10  | 19  9  |
| 14 15  | 19  1  |  3  2  | 13  7  | 20 18  |  5  8  |  9  4  | 17 12  |  6 11  | 16 10  |
|  5 17  | 13 11  | 16  6  | 18 14  |  9  2  | 12 20  |  8  1  | 19 10  |  7  4  |  3 15  |
|  6  9  | 16 18  |  1 15  | 11 17  | 19 12  | 14  2  | 10 20  | 13  4  |  3  5  |  8  7  |
|  1 18  |  2 15  | 20  9  | 19 10  | 13  4  |  6 17  |  7  3  |  5  8  | 12 16  | 11 14  |
| 11 20  | 12  9  | 18 19  | 16  8  | 10  7  |  4 15  | 13 17  |  1  3  |  2 14  |  6  5  |
---------------------------------------------------------------------------------------------------------------
